#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice
1,Bitcoin,8626712642.0,,697.38,5.0,12,45616498.0,4.88,76.2956293737,0.528781934591,77.2891257102,0.00143393845536
2,Ripple,1792776289.0,,0.018,9.0,99,83141.0,5.39,15.8555177356,0.00463755575696,0.140867788682,55.5555555556
3,Litecoin,475264237.0,,18.61,13.0,25,8065156.0,3.16,4.20329105483,1.69698356664,13.6649870833,0.0537345513165
4,PPCoin,99640323.0,,4.72,17.0,21,1296290.0,5.28,0.881230367785,1.3009692873,2.19633521115,0.21186440678
5,DogeCoin,51959455.0,,0.0011,21.0,45,846465.0,1.12,0.459535339318,1.62908752603,1.4341859341,909.090909091
6,Nxt,48267890.0,,0.048,25.0,999,117532.0,8.93,0.426886717909,0.243499353297,0.199137284124,20.8333333333
7,MasterCoin,35739487.0,,63.46,29.0,563,2404.0,4.63,0.316084094523,0.00672645357221,0.00407315480919,0.0157579577687
8,Namecoin,34714045.0,,4.35,33.0,7,1138457.0,6.61,0.307014968655,3.27952850208,1.92891497696,0.229885057471
9,Quarkcoin,19397822.0,,0.078,37.0,247,108093.0,2.99,0.171556547597,0.557242972948,0.183144560229,12.8205128205
10,ProtoShares,15483756.0,,10.75,41.0,1,18384.0,3.43,0.136940101996,0.118730881577,0.0311484517522,0.093023255814
11,MegaCoin,10999383.0,,0.50,45.0,22,24100.0,4.91,0.097279796318,0.219103198789,0.0408332075298,2.0
12,Primecoin,10227542.0,,2.35,49.0,4,172470.0,5.51,0.0904535465847,1.68632893417,0.292220054052,0.425531914894
13,Infinitecoin,8878038.0,,9.9,5.0,53,28848.0,2.88,0.0785183794712,0.324936658302,0.0488778577103,0.10101010101
14,Worldcoin,8435858.0,,0.19,57.0,43,148092.0,12.14,0.0746076891774,1.75550607893,0.250915824461,5.26315789474
15,Novacoin,7065604.0,,10.13,61.0,697,35738.0,2.11,0.0624890067001,0.505802476335,0.0605517498215,0.0987166831194
16,Feathercoin,6825251.0,,0.21,65.0,32,87491.0,7.62,0.0603632973867,1.28187227107,0.148238097925,4.7619047619
17,Vertcoin,6328933.0,,4.00,69.0,1,436083.0,19.90,0.0559738044534,6.89030836635,0.738865877146,0.25
18,YbCoin,3580747.0,,3.51,73.0,1,592.0,+10.14,0.031668534392,0.0165328631149,0.00100303978662,0.2849002849
19,Tickets,3203560.0,,4.8,5.0,66,3155.0,0.76,0.0283326495943,0.0984841863427,0.00534559210608,0.208333333333
