#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,7444728090.0,,598.86,8.0,12,32844471.0,6.46,75.9642827263,0.441177576977,72.5503684268,0.00166983936145,8.16301488065e-08,1.07458592218e-07,1.76712527175e-05
2,Ripple,1564031020.0,,0.016,12.0,99,99741.0,5.64,15.9590106126,0.00637717530692,0.220318552162,62.5,1.2244522321e-07,7.67248209693e-07,2.65068790763e-05
3,Litecoin,385051199.0,,14.84,16.0,25,6115878.0,7.4,3.92897333406,1.58832851732,13.509403216,0.0673854447439,1.63260297613e-07,4.15529156682e-06,3.53425054351e-05
4,PPCoin,80285123.0,,3.79,20.0,21,555681.0,5.91,0.81921081718,0.692134456841,1.22744742267,0.263852242744,2.04075372016e-07,2.49112154938e-05,4.41781317938e-05
5,DogeCoin,67073241.0,,0.0013,24.0,52,1357948.0,6.58,0.684399830471,2.02457489716,2.99958028566,769.230769231,2.4489044642e-07,3.57817806955e-05,5.30137581526e-05
6,Nxt,54467554.0,,0.054,28.0,999,153848.0,4.42,0.555774317268,0.282458066687,0.339835861011,18.5185185185,2.85705520823e-07,5.1406751256e-05,6.18493845114e-05
7,Namecoin,28221647.0,,3.48,32.0,8,518786.0,7.09,0.287967155522,1.83825557736,1.14594981404,0.287356321839,3.26520595226e-07,0.000113388137836,7.06850108701e-05
8,MasterCoin,28176002.0,,50.03,36.0,563,9974.0,11.66,0.287501404504,0.0353989185549,0.0220316343256,0.0199880071957,3.67335669629e-07,0.000127768304389,7.95206372289e-05
9,ProtoShares,25115112.0,,16.45,40.0,1,824705.0,0.21,0.256268791232,3.28370026779,1.82169630905,0.0607902735562,4.08150744033e-07,0.00015926665985,8.83562635877e-05
10,Quarkcoin,15339164.0,,0.062,44.0,247,144491.0,3.19,0.156517279986,0.941974412686,0.319167122051,16.1290322581,4.48965818436e-07,0.00028684744488,9.71918899464e-05
11,Feathercoin,9197038.0,,0.27,48.0,34,46990.0,8.61,0.0938444475649,0.510925365319,0.10379652065,3.7037037037,4.89780892839e-07,0.000521907161849,0.000106027516305
12,MegaCoin,8920332.0,,0.4,52.0,22,305567.0,25.47,0.0910210035704,3.42551151684,0.674968959892,2.5,5.30595967242e-07,0.000582937944462,0.000114863142664
