#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice
1,Bitcoin,8269751952.0,,668.36,5.0,12,34683606.0,6.14,76.1854076659,0.41940322033,78.8590912498,0.00149619965288
2,Ripple,1734082488.0,,0.017,9.0,99,21150.0,5.80,15.9753015618,0.00121966516278,0.0480881307421,58.8235294118
3,Litecoin,454696587.0,,17.79,13.0,25,5442421.0,4.92,4.18890978181,1.19693464952,12.3742719906,0.0562113546936
4,PPCoin,96591743.0,,4.57,17.0,21,708859.0,7.19,0.889855144426,0.733871217129,1.6117117858,0.218818380744
5,DogeCoin,50363751.0,,0.0011,21.0,46,857103.0,4.04,0.463977991576,1.70182518772,1.94876979307,909.090909091
6,Nxt,46764990.0,,0.047,25.0,999,69785.0,7.24,0.430824267562,0.149224879552,0.158668094744,21.2765957447
7,MasterCoin,35042280.0,,62.22,29.0,563,4954.0,3.69,0.322828351181,0.0141372079671,0.011263763579,0.0160720025715
8,Namecoin,33995997.0,,4.26,33.0,7,666608.0,3.39,0.313189428835,1.96084262509,1.51564693417,0.234741784038
9,Quarkcoin,18234691.0,,0.074,37.0,247,91553.0,5.54,0.1679877916,0.502081444649,0.208161353845,13.5135135135
10,ProtoShares,14910710.0,,10.33,41.0,1,15424.0,5.79,0.137365488896,0.103442424942,0.0350690935492,0.0968054211036
11,MegaCoin,10415001.0,,0.47,45.0,22,17608.0,6.24,0.0959485969629,0.169063833983,0.0400347898868,2.12765957447
12,Primecoin,9766708.0,,2.24,49.0,4,95077.0,6.31,0.0899761727864,0.973480521789,0.216173768632,0.446428571429
13,Infinitecoin,8311175.0,,9.2,5.0,53,11822.0,6.34,0.0765670190875,0.142242222068,0.0268793324649,0.108695652174
14,Worldcoin,7417232.0,,0.17,57.0,43,174824.0,15.06,0.0683315348456,2.35699786659,0.39749216874,5.88235294118
15,Novacoin,6711796.0,,9.61,61.0,698,32450.0,5.61,0.0618326785856,0.483477149782,0.0737806072142,0.104058272633
16,Feathercoin,6545935.0,,0.20,65.0,32,45938.0,8.93,0.060304677749,0.701779043024,0.104447874706,5.0
17,Vertcoin,5016157.0,,3.13,69.0,1,291616.0,27.28,0.0462115391344,5.81353414576,0.663038691937,0.319488817891
18,YbCoin,3401446.0,,3.33,73.0,1,8778.0,4.75,0.0313359519932,0.258066716332,0.0199582795108,0.3003003003
19,Tickets,3047940.0,,4.6,5.0,66,2331.0,4.45,0.0280792643829,0.0764778834229,0.00529992589881,0.217391304348
20,Digitalcoin,2527647.0,,0.19,80.0,13,10616.0,8.02,0.0232860451254,0.419995355364,0.0241372858609,5.26315789474
21,Zetacoin,2485579.0,,0.016,84.0,160,10394.0,9.37,0.0228984920588,0.418172184429,0.0236325310134,62.5
22,Devcoin,2438529.0,,0.00039,88.0,6,11722.0,1.03,0.0224650421256,0.480699634903,0.0266519654165,2564.1025641
23,Unobtanium,1993029.0,,13.37,92.0,149,276582.0,+34.44,0.018360856255,13.8774699214,0.628856329877,0.074794315632
24,Mooncoin,1809374.0,,6.8,5.0,96,34241.0,13.97,0.0166689275096,1.89242246213,0.0778527510515,0.147058823529
25,NetCoin,1786324.0,,0.0081,100.0,220,5565.0,7.33,0.0164565784988,0.311533629957,0.0126529762449,123.456790123
26,Anoncoin,1702782.0,,2.36,104.0,721,11872.0,7.72,0.0156869446132,0.697211974287,0.0269930159891,0.423728813559
27,Kittehcoin,1588547.0,,0.00026,108.0,6,43230.0,11.27,0.0146345502857,2.72135479781,0.0982907750345,3846.15384615
28,IXCoin,1334225.0,,0.074,112.0,18,1236.0,14.94,0.012291599087,0.0926380483052,0.00281025671854,13.5135135135
29,Copperlark,1230614.0,,0.20,116.0,6,1597.0,7.96,0.0113370787677,0.129772617571,0.00363105176336,5.0
30,Particle,1227578.0,,0.0017,120.0,701,4657.0,+14.68,0.0113091095011,0.379364895754,0.0105884834452,588.235294118
31,Terracoin,1170219.0,,0.23,124.0,5,3218.0,6.24,0.0107806875092,0.274991262319,0.00731667161834,4.34782608696
32,FedoraCoin,1020825.0,,8,6.0,128,35768.0,7.15,0.009404389543,3.50383268435,0.0813246458809,0.125
33,EarthCoin,944682.0,,0.00078,132.0,1,22126.0,5.13,0.00870291922931,2.34216381809,0.0503072331347,1282.05128205
