#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,7098404288.0,,571.06,8.0,12,21675782.0,-1.53,75.9958724104,0.305361333626,71.3154362557,0.00175112947851,8.56484013331e-08,1.12701385768e-07,2.63207800321e-05
2,Ripple,1495874408.0,,0.015,12.0,99,81834.0,-1.02,16.014906455,0.00547064643678,0.269241839143,66.6666666667,1.28472602e-07,8.02206384161e-07,3.94811700482e-05
3,Litecoin,360934353.0,,13.92,16.0,25,3176339.0,-2.07,3.86418129008,0.880032330976,10.4504650158,0.0718390804598,1.71296802666e-07,4.43293908352e-06,5.26415600642e-05
4,PPCoin,75532812.0,,3.57,20.0,21,369129.0,-3.88,0.808658074499,0.488700195618,1.21447040156,0.280112044818,2.14121003333e-07,2.64785587487e-05,6.58019500803e-05
5,DogeCoin,64039996.0,,0.0012,24.0,52,1119182.0,-2.8,0.685615409847,1.74762971565,3.68221790474,833.333333333,2.56945203999e-07,3.74765794801e-05,7.89623400963e-05
6,Nxt,51634518.0,,0.052,28.0,999,197355.0,-5.17,0.552801740038,0.38221524601,0.649317192905,19.2307692308,2.99769404666e-07,5.42272903564e-05,9.21227301124e-05
7,Namecoin,26355322.0,,3.25,32.0,8,191523.0,-3.85,0.28216139949,0.726695731511,0.630129344261,0.307692307692,3.42593605332e-07,0.000121417602107,0.000105283120128
8,MasterCoin,26314878.0,,46.73,36.0,563,29021.0,-22.88,0.281728403997,0.110283619783,0.095481919664,0.0213995292104,3.85417805999e-07,0.000136804738369,0.000118443510144
9,ProtoShares,25221350.0,,16.56,40.0,1,994655.0,-4.17,0.27002103837,3.94370245843,3.27251193285,0.06038647343,4.28242006665e-07,0.00015859579285,0.000131603900161
10,Quarkcoin,14678764.0,,0.059,44.0,247,140566.0,-1.14,0.157151583768,0.957614687449,0.462475845749,16.9491525424,4.71066207332e-07,0.000299752758475,0.000144764290177
11,Feathercoin,8651787.0,,0.25,48.0,34,37205.0,-0.5,0.0926264656531,0.43002676788,0.122408077637,4.0,5.13890407999e-07,0.000554798679163,0.000157924680193
12,MegaCoin,7865055.0,,0.35,52.0,22,107922.0,4.45,0.0842036733934,1.37217095112,0.355073902828,2.85714285714,5.56714608665e-07,0.00066115240135,0.000171085070209
13,Primecoin,7777421.0,,1.72,56.0,4,44148.0,-2.12,0.0832654593931,0.567643181461,0.145251224607,0.581395348837,5.99538809332e-07,0.000720033028944,0.000184245460225
14,Infinitecoin,6988894.0,,7.7e-05,60.0,90,116696.0,-6.25,0.0748234497733,1.66973486792,0.383941218328,12987.012987,6.42363009998e-07,0.000858504936546,0.000197405850241
15,Novacoin,5731050.0,,8.05,64.0,712,29186.0,-0.23,0.0613569088075,0.509260955671,0.0960247857521,0.124223602484,6.85187210665e-07,0.00111672381152,0.000210566240257
16,Worldcoin,5503831.0,,0.12,68.0,45,68647.0,-0.44,0.0589242907947,1.24725850049,0.225855323358,8.33333333333,7.28011411331e-07,0.00123550305233,0.000223726630273
17,Vertcoin,3809761.0,,1.92,72.0,1,124765.0,0.97,0.0407874923889,3.27487734795,0.410489015088,0.520833333333,7.70835611998e-07,0.0018898823312,0.000236887020289
18,DarkCoin,3752580.0,,1.09,76.0,3,100684.0,-10.09,0.0401753097343,2.68306072089,0.331260177094,0.917431192661,8.13659812664e-07,0.00202527327865,0.000250047410305
19,MaxCoin,3555431.0,,0.82,80.0,4,451874.0,4.18,0.03806462265,12.7094014762,1.48670951953,1.21951219512,8.56484013331e-07,0.00225007882307,0.000263207800321
20,YbCoin,3316814.0,,3.05,84.0,1,62723.0,-3.24,0.0355099770774,1.89106172369,0.206364785744,0.327868852459,8.99308213998e-07,0.00253255081533,0.000276368190337
21,Tickets,2523587.0,,3.8e-05,66876281414.0,TIX,22101.0,-5.92,0.0270176490219,0.875777217112,0.0727144449362,26315.7894737,715.980823776,2650048.57823,220029.486558
22,Devcoin,2423844.0,,0.00038,91.0,6,61315.0,-11.08,0.0259497954601,2.52965949954,0.201732328459,2631.57894737,9.74250565164e-07,0.00375436703022,0.000299398872865
23,Digitalcoin,2077586.0,,0.15,95.0,13,25869.0,-2.33,0.0222427399415,1.24514701196,0.0851115323313,6.66666666667,1.01707476583e-06,0.00457261456325,0.000312559262881
24,Zetacoin,2017996.0,,0.013,99.0,160,11693.0,1.28,0.0216047664121,0.579436232777,0.0384711101144,76.9230769231,1.0598989665e-06,0.00490585709783,0.000325719652897
25,Freicoin,1817324.0,,0.047,103.0,38,7354.0,-8.07,0.019456361913,0.404660919022,0.0241953770445,21.2765957447,1.10272316716e-06,0.0056676740086,0.000338880042913
26,NetCoin,1580849.0,,0.0071,107.0,223,14638.0,-5.77,0.0169246486999,0.925958140215,0.0481604472638,140.845070423,1.14554736783e-06,0.00676851489295,0.000352040432929
27,Applecoin,1551494.0,,0.1,111.0,14,42473.0,4.12,0.0166103725972,2.7375548987,0.139740311288,10.0,1.1883715685e-06,0.00715439440952,0.000365200822946
28,IXCoin,1507853.0,,0.082,115.0,18,3738.0,-1.18,0.0161431498619,0.247902149613,0.01229838447,12.1951219512,1.23119576916e-06,0.0076267381502,0.000378361212962
29,Mintcoin,1395145.0,,8.6e-05,119.0,16,174867.0,-5.94,0.0149364923597,12.5339660035,0.575329480234,11627.9069767,1.27401996983e-06,0.00852957936272,0.000391521602978
30,Unobtanium,1307476.0,,8.43,123.0,155,37207.0,-13.2,0.0139979036477,2.8457118907,0.122414657832,0.11862396204,1.3168441705e-06,0.00940743845394,0.000404681992994
31,Copperlark,1234434.0,,0.19,127.0,6,897.0,6.64,0.0132159123314,0.072664881233,0.0029512174611,5.26315789474,1.35966837116e-06,0.010288115849,0.00041784238301
32,Terracoin,1215036.0,,0.23,131.0,5,20452.0,0.73,0.0130082363703,1.68324230722,0.0672890741521,4.34782608696,1.40249257183e-06,0.0107815735501,0.000431002773026
33,UltraCoin,1186438.0,,0.24,135.0,4,56609.0,1.22,0.0127020647476,4.7713407696,0.186249129605,4.16666666667,1.4453167725e-06,0.0113785971117,0.000444163163042
34,Anoncoin,1181743.0,,1.57,139.0,753,10823.0,-6.4,0.0126517998421,0.915850569879,0.0356087252859,0.636942675159,1.48814097316e-06,0.0117622867239,0.000457323553058
35,Mooncoin,1021609.0,,3.8e-05,143.0,26,43062.0,-17.01,0.0109373972047,4.2151155677,0.141678178718,26315.7894737,1.53096517383e-06,0.0139975274298,0.000470483943074
36,MinCoin,951643.0,,0.59,147.0,1,46298.0,-14.24,0.0101883376987,4.8650596915,0.152324934241,1.69491525424,1.5737893745e-06,0.015446969084,0.00048364433309
37,Particle,946176.0,,0.0014,151.0,688,1540.0,2.38,0.0101298077225,0.162760416667,0.00506675015618,714.285714286,1.61661357516e-06,0.0159589759199,0.000496804723106
38,Kittehcoin,823899.0,,0.00013,155.0,6,40257.0,20.5,0.00882070402624,4.88615716247,0.132449455219,7692.30769231,1.65943777583e-06,0.0188129855723,0.000509965113122
39,SecureCoin,728313.0,,0.57,159.0,1,12852.0,1.96,0.00779735551501,1.7646259232,0.0422843331216,1.75438596491,1.7022619765e-06,0.0218312730927,0.000523125503138
40,FedoraCoin,693346.0,,4.6e-06,163.0,151,31745.0,-21.83,0.00742299705884,4.57852212315,0.104444145265,217391.304348,1.74508617716e-06,0.0235091858899,0.000536285893154
41,CacheCoin,688636.0,,3.0,167.0,229,4021.0,-7.49,0.00737257156255,0.583907899093,0.0132294820636,0.333333333333,1.78791037783e-06,0.0242508378882,0.00054944628317
42,MemoryCoin,671121.0,,0.15,171.0,4,53326.0,-10.57,0.00718505509388,7.94581007002,0.175447739499,6.66666666667,1.8307345785e-06,0.0254797570036,0.000562606673186
43,BBQCoin,640235.0,,0.02,175.0,32,9355.0,8.9,0.00685438802844,1.46118222215,0.03077886215,50.0,1.87355877916e-06,0.0273337134021,0.000575767063202
44,LottoCoin,612195.0,,8e-05,179.0,7,17603.0,-0.64,0.00655419038176,2.87539101103,0.0579155863632,12500.0,1.91638297983e-06,0.0292390496492,0.000588927453218
45,ReddCoin,604639.0,,5.1e-05,183.0,11,13310.0,-10.07,0.00647329546671,2.20131351104,0.0437911977784,19607.8431373,1.95920718049e-06,0.0302659934275,0.000602087843234
46,TagCoin,599331.0,,0.66,187.0,911,11249.0,-0.33,0.00641646775242,1.87692610594,0.0370103068226,1.51515151515,2.00203138116e-06,0.0312014562904,0.000615248233251
47,LeafCoin,544326.0,,4.5e-05,191.0,12,1342.0,-1.14,0.00582758146301,0.246543431694,0.00441531085039,22222.2222222,2.04485558183e-06,0.0350892663588,0.000628408623267
48,Gridcoin,541827.0,,0.049,195.0,11,4563.0,-14.14,0.00580082704364,0.842150723386,0.0150127149108,20.4081632653,2.08767978249e-06,0.0359893471532,0.000641569013283
49,BitBar,499203.0,,50.25,199.0,9,982.0,-0.61,0.00534449236134,0.196713561417,0.00323087574894,0.0199004975124,2.13050398316e-06,0.0398635424867,0.000654729403299
50,EarthCoin,498044.0,,0.00035,203.0,1,36697.0,-19.44,0.00533208404919,7.36822449422,0.120736708105,2857.14285714,2.17332818383e-06,0.0407594509722,0.000667889793315
51,Karmacoin,496504.0,,2.3e-05,207.0,21,284176.0,34.36,0.00531559673194,57.2353898458,0.934966748301,43478.2608696,2.21615238449e-06,0.0416915070171,0.000681050183331
52,Colossuscoin,493555.0,,1.6e-06,211.0,312,3859.0,-1.84,0.00528402458999,0.78187841274,0.012696486268,625000.0,2.25897658516e-06,0.0427510611786,0.000694210573347
53,Extremecoin,481909.0,,0.14,215.0,3,15.0,1.6,0.00515934192975,0.0031126208475,4.93514625602e-05,7.14285714286,2.30180078583e-06,0.0446142321476,0.000707370963363
54,I0Coin,398633.0,,0.02,20215983.0,I0C,385.0,6.2,0.00426778489608,0.0965800623631,0.00126668753905,50.0,0.216433328166,5071.32701006,66.5125552095
55,TopCoin,393112.0,,3.4e-05,222.0,11,13166.0,17.5,0.00420867679311,3.34917275484,0.0433174237378,29411.7647059,2.37674313699e-06,0.0564724556869,0.000730401645891
56,Sexcoin,376421.0,,0.0061,226.0,61,2583.0,-1.77,0.00402998210978,0.686199760375,0.00849832185287,163.93442623,2.41956733766e-06,0.0600391582829,0.000743562035907
57,Yacoin,361639.0,,0.021,230.0,17,7359.0,-21.34,0.00387172527621,2.03490220911,0.024211827532,47.619047619,2.46239153833e-06,0.0635993352487,0.000756722425923
58,FlorinCoin,356360.0,,0.0087,234.0,41,2769.0,-5.62,0.00381520803738,0.777023234931,0.00911027998861,114.942528736,2.50521573899e-06,0.0656639353463,0.000769882815939
59,GoldCoin,352136.0,,0.012,238.0,29,1443.0,-11.81,0.00376998568148,0.409784855851,0.00474761069829,83.3333333333,2.54803993966e-06,0.0675875230025,0.000783043205955
60,RedCoin,345095.0,,0.0097,242.0,35,4896.0,-6.11,0.00369460438226,1.41873976731,0.0161083173797,103.092783505,2.59086414033e-06,0.0701256175836,0.000796203595971
61,Frozen,342741.0,,0.058,246.0,5,668.0,9.55,0.00366940234016,0.19489935549,0.00219778513268,17.2413793103,2.63368834099e-06,0.0717743135487,0.000809363985987
62,HunterCoin,324631.0,,0.46,250.0,709,3190.0,-5.86,0.00347551577165,0.982654151945,0.0104954110378,2.17391304348,2.67651254166e-06,0.0770105134753,0.000822524376003
63,Datacoin,301823.0,,0.18,254.0,1,14605.0,11.2,0.00323133217945,4.83892877614,0.0480518740461,5.55555555556,2.71933674233e-06,0.0841552830633,0.000835684766019
64,Fastcoin,274762.0,,0.0045,258.0,60,1935.0,-4.14,0.00294161575589,0.704245856414,0.00636633867027,222.222222222,2.76216094299e-06,0.0938994475219,0.000848845156036
66,Pandacoin-panda,268825.0,,4.6e-05,266.0,5,43703.0,-10.89,0.00287805393605,16.2570445457,0.143787131218,21739.1304348,2.84780934433e-06,0.0989491304752,0.000875165936068
