#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,7090785228.0,,570.54,8.0,12,32297357.0,4.55,75.9603809136,0.455483503752,69.234278883,0.00175272548813,8.57003882883e-08,1.12822483586e-07,1.71492122734e-05
2,Ripple,1496151741.0,,0.015,12.0,99,114668.0,4.37,16.0275981427,0.00766419587383,0.245808234121,66.6666666667,1.28550582433e-07,8.020576838e-07,2.57238184102e-05
3,Litecoin,361091316.0,,13.93,16.0,25,5357074.0,2.41,3.86820824859,1.48357874106,11.4836998988,0.0717875089734,1.71400776577e-07,4.43101212658e-06,3.42984245469e-05
4,PPCoin,77557813.0,,3.66,20.0,21,555799.0,5.2,0.830841836112,0.716625415933,1.19143937905,0.273224043716,2.14250970721e-07,2.5787215016e-05,4.28730306836e-05
5,DogeCoin,63913776.0,,0.0012,24.0,52,1837463.0,2.12,0.684679427522,2.87490915886,3.93888037895,833.333333333,2.57101164865e-07,3.75505900324e-05,5.14476368203e-05
6,Nxt,52035807.0,,0.052,28.0,999,185006.0,-1.01,0.5574361081,0.355535948544,0.396588395733,19.2307692308,2.99951359009e-07,5.38091011061e-05,6.0022242957e-05
7,Namecoin,26310199.0,,3.25,32.0,8,439217.0,3.33,0.28184928378,1.66937923959,0.941528195888,0.307692307692,3.42801553153e-07,0.00012162583795,6.85968490938e-05
8,MasterCoin,26009773.0,,46.19,36.0,563,32177.0,-11.4,0.278630955674,0.123711191174,0.0689762754153,0.0216497077289,3.85651747298e-07,0.000138409512455,7.71714552305e-05
9,ProtoShares,25242381.0,,16.63,40.0,1,2207179.0,6.3,0.270410231628,8.74394138968,4.73142264956,0.0601322910403,4.28501941442e-07,0.000158463656816,8.57460613672e-05
10,Quarkcoin,14724545.0,,0.059,44.0,247,160464.0,2.5,0.157737402984,1.08977221367,0.343978899781,16.9491525424,4.71352135586e-07,0.000298820778503,9.43206675039e-05
11,Feathercoin,8528256.0,,0.25,48.0,34,51719.0,1.37,0.0913593563278,0.606442864755,0.110867513696,4.0,5.1420232973e-07,0.000562834886758,0.000102895273641
12,Primecoin,7846772.0,,1.73,52.0,4,65262.0,2.06,0.0840589259013,0.831705062923,0.139898986424,0.578034682081,5.57052523874e-07,0.000662692888235,0.000111469879777
13,MegaCoin,7197961.0,,0.32,56.0,22,169203.0,-2.54,0.077108506573,2.35070737394,0.362712270538,3.125,5.99902718018e-07,0.000777998102518,0.000120044485914
14,Infinitecoin,6997400.0,,7.8e-05,60.0,90,253808.0,0.51,0.0749599871261,3.62717580816,0.544075908587,12820.5128205,6.42752912163e-07,0.000857461342784,0.000128619092051
15,Novacoin,5694519.0,,8.0,64.0,711,43701.0,6.31,0.0610028111769,0.767422147507,0.0936797156952,0.125,6.85603106307e-07,0.00112388772432,0.000137193698188
