#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,8224285572.0,,664.48,5.0,12,43152308.0,3.11,76.0002709959,0.524693696762,75.8023890511,0.00150493619071,4.62047860149e-08,6.07955542913e-08,8.78312106169e-06
2,Ripple,1724576891.0,,0.017,9.0,99,78223.0,3.11,15.936741243,0.00453577920522,0.137408415762,58.8235294118,8.31686148268e-08,5.21867134308e-07,1.5809617911e-05
3,Litecoin,457494164.0,,17.88,13.0,25,5421215.0,1.82,4.22768399013,1.18498014327,9.52303752929,0.0559284116331,1.20132443639e-07,2.84156630247e-06,2.28361147604e-05
4,PPCoin,96163304.0,,4.55,17.0,21,667708.0,1.96,0.88864097676,0.694348022818,1.17291203957,0.21978021978,1.57096272451e-07,1.76782611379e-05,2.98626116098e-05
5,DogeCoin,63498548.0,,0.0013,21.0,47,4268786.0,+19.86,0.586787364519,6.72265135889,7.49865284489,769.230769231,1.94060101262e-07,3.30716223621e-05,3.68891084591e-05
6,Nxt,47719018.0,,0.048,25.0,999,89116.0,0.61,0.440969403106,0.18675153793,0.156543323307,20.8333333333,2.31023930074e-07,5.23900135581e-05,4.39156053085e-05
7,MasterCoin,33924767.0,,60.24,29.0,563,8870.0,5.87,0.313497319968,0.0261460896695,0.0155812567634,0.0166002656042,2.67987758886e-07,8.54832694945e-05,5.09421021578e-05
8,Namecoin,33714640.0,,4.22,33.0,7,441949.0,2.30,0.311555545354,1.31085190291,0.776338314019,0.236966824645,3.04951587698e-07,9.78803273593e-05,5.79685990072e-05
9,Quarkcoin,19127711.0,,0.077,37.0,247,236873.0,+1.30,0.176758358742,1.23837609215,0.416096847049,12.987012987,3.4191541651e-07,0.000193436632329,6.49950958565e-05
10,ProtoShares,16595164.0,,11.45,41.0,1,95987.0,+8.25,0.1533552003,0.578403443316,0.16861308827,0.0873362445415,3.78879245322e-07,0.000247059926615,7.20215927059e-05
11,MegaCoin,11453783.0,,0.52,45.0,22,52370.0,+7.14,0.105843918515,0.457228847447,0.0919944100002,1.92307692308,4.15843074134e-07,0.000392883294541,7.90480895552e-05
12,Primecoin,9954476.0,,2.28,49.0,4,106474.0,0.72,0.091988886694,1.06960928933,0.187034806385,0.438596491228,4.52806902946e-07,0.00049224087737,8.60745864046e-05
13,Infinitecoin,9070678.0,,0.0001,53.0,90,49463.0,+5.63,0.0838217471999,0.545306536072,0.0868879034149,10000.0,4.89770731758e-07,0.000584300313604,9.31010832539e-05
14,Worldcoin,7947795.0,,0.18,57.0,44,524228.0,+2.95,0.073445233453,6.59589231982,0.920871597586,5.55555555556,5.26734560569e-07,0.000717180048051,0.000100127580103
15,Novacoin,6911211.0,,9.87,61.0,699,62655.0,1.55,0.0638662050717,0.906570498282,0.110061290024,0.101317122594,5.63698389381e-07,0.000882623899053,0.000107154076953
16,Feathercoin,6545328.0,,0.20,65.0,32,53377.0,+0.10,0.0604850959274,0.815497710734,0.093763330582,5.0,6.00662218193e-07,0.000993074755001,0.000114180573802
17,Vertcoin,5811912.0,,3.55,69.0,1,424169.0,+6.54,0.0537076300594,7.29826948515,0.745105535523,0.281690140845,6.37626047005e-07,0.00118721687458,0.000121207070651
18,Devcoin,3848560.0,,0.00061,73.0,6,182842.0,+39.47,0.0355643782531,4.75091982456,0.321184684232,1639.3442623,6.74589875817e-07,0.00189681335357,0.000128233567501
19,YbCoin,3487617.0,,3.39,77.0,1,5790.0,2.82,0.0322289194374,0.166015935809,0.0101708541894,0.294985250737,7.11553704629e-07,0.00220781123615,0.00013526006435
20,Tickets,3154103.0,,4.7,5.0,66,3980.0,+1.07,0.0291469308368,0.126184845581,0.00699136436511,0.212765957447,4.62047860149e-08,0.000158523675352,8.78312106169e-06
21,Digitalcoin,2566585.0,,0.20,84.0,13,38875.0,+0.77,0.0237177021428,1.51465858329,0.0682887662547,5.0,7.7624040505e-07,0.00327283140827,0.000147556433836
22,Zetacoin,2464590.0,,0.015,88.0,160,15004.0,5.14,0.0227751707129,0.608782799573,0.0263563896819,66.6666666667,8.13204233862e-07,0.00357057360453,0.000154582930686
25,Unobtanium,1867264.0,,12.48,100.0,149,302791.0,8.76,0.0172553067107,16.2157573862,0.531890001878,0.0801282051282,9.24095720297e-07,0.00535542911982,0.000175662421234
26,NetCoin,1834905.0,,0.0083,104.0,220,11482.0,0.50,0.0169562785765,0.625754466853,0.0201695592061,120.481927711,9.61059549109e-07,0.00566786836376,0.000182688918083
27,Anoncoin,1766400.0,,2.44,108.0,724,17358.0,+2.33,0.0163232268033,0.982676630435,0.0304914830778,0.409836065574,9.98023377921e-07,0.00611413043478,0.000189715414933
28,Mooncoin,1636208.0,,6.1,5.0,112,105367.0,11.73,0.0151201281032,6.43970693213,0.185090223381,0.16393442623,4.62047860149e-08,0.000305584620048,8.78312106169e-06
29,Kittehcoin,1509947.0,,0.00024,116.0,6,40030.0,8.99,0.0139533556058,2.65108642886,0.0703176672199,4166.66666667,1.07195103554e-06,0.00768238885206,0.000203768408631
30,IXCoin,1357555.0,,0.075,120.0,18,1993.0,5.75,0.0125451076557,0.146808048293,0.00350095205519,13.3333333333,1.10891486436e-06,0.00883942087061,0.000210794905481
31,Freicoin,1313357.0,,0.035,124.0,37,250.0,4.42,0.0121366758292,0.019035189975,0.000439156053085,28.5714285714,1.14587869317e-06,0.0094414542276,0.00021782140233
32,Copperlark,1253552.0,,0.20,128.0,6,1165.0,0.78,0.0115840203837,0.0929359133087,0.00204646720737,5.0,1.18284252198e-06,0.0102109844665,0.000224847899179
33,Terracoin,1123699.0,,0.22,132.0,5,3584.0,5.88,0.010384054368,0.318946621827,0.00629574117702,4.54545454545,1.21980635079e-06,0.0117469179914,0.000231874396029
34,FedoraCoin,1075258.0,,8.5,6.0,136,66646.0,+0.78,0.00993641316015,6.19814035329,0.117071977256,0.117647058824,5.54457432178e-08,0.000558005613536,1.0539745274e-05
35,SecureCoin,938791.0,,0.79,140.0,1,3144.0,+0.08,0.00867532745354,0.334898821996,0.00552282652359,1.26582278481,1.29373400842e-06,0.0149127974171,0.000245927389727
36,EarthCoin,935843.0,,0.00076,144.0,1,26970.0,3.62,0.0086480851117,2.88189365096,0.0473761550068,1315.78947368,1.33069783723e-06,0.0153871963567,0.000252953886577
37,TagCoin,892049.0,,1.06,148.0,843,17965.0,+2.81,0.00824338663195,2.01390282372,0.0315577539747,0.943396226415,1.36766166604e-06,0.0165910168612,0.000259980383426
38,LottoCoin,738204.0,,0.00011,152.0,6,32767.0,7.16,0.00682171157106,4.43874592931,0.0575593055657,9090.90909091,1.40462549485e-06,0.0205905142752,0.000267006880275
