#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice
1,Bitcoin,8610720311.0,,696.09,5.0,12,48353008.0,3.67,76.2604941243,0.561544287279,77.2967001845,0.00143659584249
2,Ripple,1790149929.0,,0.018,9.0,99,93575.0,4.19,15.8543900175,0.00522721580378,0.149588185285,55.5555555556
3,Litecoin,477595036.0,,18.70,13.0,25,8501474.0,0.49,4.22980100633,1.78005912105,13.5903827721,0.0534759358289
4,PPCoin,100177859.0,,4.74,17.0,21,1425552.0,1.86,0.887221132696,1.42302102903,2.27887509173,0.210970464135
5,DogeCoin,51522481.0,,0.0011,21.0,45,901496.0,+0.59,0.456306756886,1.74971387733,1.44112370485,909.090909091
6,Nxt,48866775.0,,0.049,25.0,999,126991.0,6.66,0.432786604739,0.259871865905,0.203006713732,20.4081632653
7,MasterCoin,35673377.0,,63.34,29.0,563,2399.0,3.23,0.3159398121,0.00672490299979,0.00383502064117,0.0157878118093
8,Namecoin,34829371.0,,4.36,33.0,7,1312381.0,2.33,0.308464907297,3.76802957481,2.09796091041,0.229357798165
9,Quarkcoin,19343518.0,,0.078,37.0,247,110068.0,1.40,0.171315080214,0.569017486891,0.175953752369,12.8205128205
10,ProtoShares,15335101.0,,10.65,41.0,1,18225.0,3.16,0.135814698128,0.118844994891,0.0291343272969,0.093896713615
11,MegaCoin,10877492.0,,0.49,45.0,22,24783.0,4.43,0.0963360653688,0.227837446353,0.0396178893498,2.04081632653
12,Primecoin,10205704.0,,2.35,49.0,4,163506.0,4.53,0.0903864022771,1.60210407827,0.261379276763,0.425531914894
13,Infinitecoin,8921166.0,,9.9,5.0,53,29309.0,0.83,0.079009943739,0.328533288137,0.0468531137858,0.10101010101
14,Worldcoin,8706262.0,,0.20,57.0,43,147425.0,5.47,0.077106655206,1.69332142773,0.235672329314,5.0
15,Novacoin,7088166.0,,10.16,61.0,697,35226.0,0.59,0.062776053811,0.49696917369,0.0563119787853,0.0984251968504
16,Feathercoin,6809309.0,,0.21,65.0,32,92508.0,6.58,0.0603063681352,1.35855194705,0.147882488317,4.7619047619
17,Vertcoin,6328933.0,,4.00,69.0,1,436083.0,19.05,0.0560519376344,6.89030836635,0.697118510323,0.25
18,YbCoin,3493134.0,,3.43,73.0,1,571.0,+12.77,0.0309367991598,0.0163463525877,0.00091279565907,0.291545189504
19,Tickets,3190497.0,,4.8,5.0,66,3274.0,+2.23,0.0282565068814,0.102617241138,0.00523378806969,0.208333333333
20,Zetacoin,2649358.0,,0.017,80.0,160,24677.0,+3.20,0.0234639313431,0.931433200043,0.039448438667,58.8235294118
21,Digitalcoin,2625260.0,,0.20,84.0,13,15244.0,9.62,0.0232505083865,0.58066629591,0.0243689264919,5.0
22,Devcoin,2517351.0,,0.0004,88.0,6,3110.0,0.26,0.0222948167181,0.123542565181,0.0049716190888,2500.0
23,Mooncoin,1901043.0,,7.1,5.0,92,70108.0,11.25,0.0168365099893,3.68787029015,0.112074042147,0.140845070423
24,NetCoin,1856363.0,,0.0084,96.0,219,8223.0,3.97,0.016440803387,0.442962933435,0.0131452166454,119.047619048
25,Kittehcoin,1799072.0,,0.00029,100.0,6,89545.0,1.06,0.0159334079763,4.97728829085,0.143145862157,3448.27586207
26,Anoncoin,1739997.0,,2.42,104.0,720,11621.0,4.27,0.0154102126422,0.667874714727,0.0185772300421,0.413223140496
27,IXCoin,1634339.0,,0.09,108.0,18,843.0,+12.22,0.0144744568637,0.0515804860558,0.00134761250542,11.1111111111
28,Unobtanium,1512220.0,,10.16,112.0,148,146901.0,+8.47,0.0133929149083,9.71426115248,0.234834667448,0.0984251968504
29,Freicoin,1447795.0,,0.039,116.0,37,401.0,4.85,0.0128223375168,0.0276972913983,0.0006410351301,25.641025641
30,Copperlark,1343446.0,,0.22,120.0,6,1147.0,4.67,0.0118981748436,0.0853774546949,0.00183358427487,4.54545454545
31,Terracoin,1253121.0,,0.24,124.0,5,18477.0,2.98,0.0110982151558,1.47447852203,0.0295371723163,4.16666666667
32,FedoraCoin,1100746.0,,8.7,6.0,128,30972.0,0.19,0.00974871216733,2.81372814437,0.0495115711956,0.114942528736
33,EarthCoin,1015021.0,,0.00085,132.0,1,27113.0,4.36,0.00898949219238,2.67117626138,0.043342607188,1176.47058824
35,SecureCoin,977786.0,,0.83,140.0,1,4343.0,3.94,0.00865972192971,0.444166719507,0.00694268221951,1.20481927711
36,TagCoin,853549.0,,1.02,144.0,835,3581.0,2.47,0.00755942199355,0.419542404713,0.00572455561319,0.980392156863
37,LeafCoin,836850.0,,0.0001,148.0,8,17211.0,19.94,0.00741152797941,2.05664097509,0.0275133556712,10000.0
38,LottoCoin,796941.0,,0.00013,152.0,6,26843.0,2.29,0.00705807554453,3.36825436262,0.0429109875244,7692.30769231
39,CryptogenicBullion,739143.0,,0.79,156.0,940,14573.0,+5.42,0.00654618990893,1.97160765914,0.0232962716981,1.26582278481
40,Sexcoin,707069.0,,0.012,160.0,58,5500.0,+2.16,0.0062621278328,0.777859020831,0.00879225240785,83.3333333333
41,BBQCoin,705133.0,,0.022,164.0,31,1377.0,3.80,0.00624498172756,0.195282308444,0.00220126028466,45.4545454545
42,GoldCoin,654522.0,,0.022,168.0,29,2241.0,+5.75,0.00579674746507,0.342387268877,0.00358244320836,45.4545454545
43,Frozen,560662.0,,0.10,172.0,5,4935.0,2.82,0.00496548019358,0.880209466666,0.00788904829687,10.0
44,Extremecoin,546110.0,,0.16,176.0,3,4.0,4.34,0.0048366009976,0.000732453168776,6.39436538753e-06,6.25
45,BitBar,516604.0,,53.60,180.0,9,1202.0,5.04,0.00457528230899,0.23267338232,0.00192150679895,0.0186567164179
46,DigiByte,490834.0,,0.0011,184.0,453,16071.0,15.82,0.00434705135239,3.27422305708,0.0256909615358,909.090909091
47,MemoryCoin,483239.0,,0.13,188.0,3,7066.0,9.91,0.00427978654388,1.46221641879,0.0112956464571,7.69230769231
48,SmartCoin,389546.0,,0.19,192.0,2,94349.0,+177.10,0.00344999830109,24.2202461327,0.150825494987,5.26315789474
49,RedCoin,379222.0,,0.011,196.0,33,771.0,3.59,0.0033585642151,0.203310989341,0.00123251392845,90.9090909091
50,Fastcoin,366406.0,,0.0064,200.0,57,4452.0,1.41,0.0032450598325,1.21504560515,0.00711692867632,156.25
51,FlorinCoin,357962.0,,0.0089,204.0,40,1291.0,9.21,0.00317027589002,0.360652806723,0.00206378142883,112.359550562
52,I0Coin,351528.0,,0.017,20175930.0,I0C,22.0,3.58,0.00311329343078,0.00625839193464,3.51690096314e-05,58.8235294118
53,Coino,316704.0,,0.067,211.0,4,13922.0,+19.38,0.00280487609152,4.39590279883,0.0222555887313,14.9253731343
54,ASICcoin,314574.0,,0.00073,215.0,428,1753.0,0.54,0.00278601183318,0.557261566436,0.00280233063109,1369.8630137
55,JKC,308989.0,,0.03,219.0,10,1847.0,8.59,0.00273654850789,0.597755907168,0.00295259821769,33.3333333333
56,QQCoin,308858.0,,0.02,223.0,15,5094.0,7.20,0.00273538831172,1.64930162081,0.00814322432102,50.0
57,USDeCoin,293232.0,,0.0012,227.0,243,9252.0,0.97,0.00259699727844,3.15518088067,0.0147901671414,833.333333333
58,Franko,282679.0,,2.58,231.0,109,5438.0,9.22,0.00250353506326,1.92373681809,0.00869313974435,0.387596899225
59,Deutsche-eMark,274995.0,,0.064,235.0,4,1687.0,7.57,0.00243548202987,0.613465699376,0.00269682360219,15.625
60,Catcoin,271897.0,,0.25,239.0,1,1525.0,+3.93,0.00240804471891,0.560874154551,0.002437851804,4.0
61,Yacoin,268853.0,,0.017,243.0,16,948.0,7.15,0.00238108565675,0.352609046579,0.00151546459684,58.8235294118
62,KlondikeCoin,242989.0,,0.059,247.0,4,11186.0,5.35,0.00215202219297,4.60350056998,0.0178818428062,16.9491525424
63,Datacoin,228126.0,,0.15,251.0,1,565.0,+3.04,0.00202038863815,0.247670147199,0.000903204110989,6.66666666667
64,GrandCoin,223224.0,,0.00067,255.0,334,1606.0,+4.11,0.00197697427457,0.719456689245,0.00256733770309,1492.53731343
65,Philosopher-Stones,216849.0,,0.13,259.0,1,703.0,+21.64,0.00192051434643,0.324188721184,0.00112380971686,7.69230769231
66,StableCoin,210501.0,,0.02,263.0,10,2040.0,1.23,0.00186429354268,0.969116536263,0.00326112634764,50.0
67,HoboNickels,196872.0,,0.068,267.0,2,8244.0,24.71,0.00174358885865,4.18749238084,0.0131787870637,14.7058823529
68,Bytecoin,191763.0,,0.095,271.0,2,2481.0,+15.15,0.001698341208,1.29378451526,0.00396610513162,10.5263157895
69,Elacoin,172390.0,,0.77,275.0,225,10366.0,+21.96,0.00152676502165,6.01310980915,0.0165709979018,1.2987012987
70,Argentum,167115.0,,0.22,279.0,769,5534.0,3.77,0.00148004719876,3.31149208629,0.00884660451365,4.54545454545
71,FourtyTwo,160159.0,,121,816.0,283,6461.0,+0.49,0.00141844166775,4.03411609713,0.0103284986922,0.00826446280992
72,CasinoCoin,155024.0,,0.015,287.0,10,2861.0,+12.18,0.00137296374916,1.84552069357,0.00457356984343,66.6666666667
73,RonPaulCoin,149686.0,,6.94,291.0,21,8795.0,12.52,0.00132568796932,5.87563299173,0.0140596108958,0.14409221902
74,eToken,144858.0,,0.60,295.0,242,697.0,9.32,0.00128292898374,0.481160860981,0.00111421816878,1.66666666667
75,Luckycoin,142863.0,,0.012,299.0,12,1762.0,4.59,0.0012652603474,1.23334943267,0.00281671795321,83.3333333333
76,Diamond,138675.0,,0.54,303.0,255,1622.0,9.55,0.00122816949578,1.16964124752,0.00259291516464,1.85185185185
77,GlobalCoin,131655.0,,0.0044,307.0,30,1974.0,9.29,0.00116599715138,1.4993733622,0.00315561931875,227.272727273
78,BattleCoin,120692.0,,0.015,311.0,8,1539.0,+11.24,0.00106890378788,1.27514665429,0.00246023208285,66.6666666667
79,Xivra,119190.0,,0.00036,315.0,335,2128.0,0.60,0.00105560138599,1.78538467992,0.00340180238617,2777.77777778
80,TeslaCoin,93224.0,,0.0047,319.0,19,2185.0,8.86,0.000825634563366,2.34381704282,0.00349292209294,212.765957447
81,Noirbits,88215.0,,0.041,323.0,2,749.0,+3.56,0.000781272558647,0.849061950915,0.00119734491882,24.3902439024
82,Phenixcoin,87603.0,,0.0091,327.0,9,1014.0,4.22,0.000775852405545,1.15749460635,0.00162097162574,109.89010989
83,Astrocoin,85913.0,,7.58,331.0,11,4069.0,5.35,0.0007608849893,4.73618660738,0.00650466819047,0.131926121372
85,CraftCoin,71660.0,,0.22,339.0,321,632.0,+1.03,0.000634653874655,0.88194250628,0.00101030973123,4.54545454545
86,Joulecoin,71280.0,,0.017,343.0,4,2327.0,4.79,0.000631288420114,3.26459034792,0.0037199220642,58.8235294118
