#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,7470066566.0,,600.92,8.0,12,31070346.0,7.78,76.0464310457,0.41593131367,73.0580260731,0.00166411502363,8.14412352274e-08,1.07094092527e-07,1.88109977464e-05
2,Ripple,1559838495.0,,0.016,12.0,99,93513.0,6.43,15.8793967235,0.00599504373688,0.219884104032,62.5,1.22161852841e-07,7.6931041505e-07,2.82164966196e-05
3,Litecoin,386020672.0,,14.88,16.0,25,5628030.0,8.94,3.92975004387,1.45796077988,13.2336074558,0.0672043010753,1.62882470455e-07,4.14485574493e-06,3.76219954927e-05
4,PPCoin,80955174.0,,3.82,20.0,21,538186.0,6.93,0.824136171076,0.664795063006,1.26547695414,0.261780104712,2.03603088068e-07,2.47050299713e-05,4.70274943659e-05
5,DogeCoin,67471237.0,,0.0013,24.0,52,1259383.0,7.39,0.68686761045,1.86654796325,2.96128134685,769.230769231,2.44323705682e-07,3.5570712895e-05,5.64329932391e-05
6,Nxt,54503762.0,,0.055,28.0,999,89053.0,5.36,0.554856712727,0.163388721681,0.209396972788,18.1818181818,2.85044323296e-07,5.13726006656e-05,6.58384921123e-05
7,Namecoin,28378144.0,,3.5,32.0,8,479106.0,9.23,0.288893887603,1.6882922294,1.12655773578,0.285714285714,3.2576494091e-07,0.000112762836076,7.52439909855e-05
8,MasterCoin,27765301.0,,49.3,36.0,563,9780.0,19.06,0.282655051238,0.0352238212725,0.0229964447449,0.0202839756592,3.66485558523e-07,0.000129658237813,8.46494898587e-05
9,ProtoShares,25297398.0,,16.58,40.0,1,808456.0,-0.76,0.257531417645,3.19580693635,1.90098299926,0.0603136308806,4.07206176137e-07,0.000158119028684,9.40549887319e-05
10,Quarkcoin,15465709.0,,0.062,44.0,247,162868.0,3.97,0.157443305578,1.05309106747,0.38296369762,16.1290322581,4.47926793751e-07,0.000284500374344,0.000103460487605
11,MegaCoin,9183851.0,,0.41,48.0,22,285816.0,27.68,0.093493021198,3.11215850518,0.672060516485,2.43902439024,4.88647411364e-07,0.000522656563135,0.000112865986478
12,Feathercoin,9048412.0,,0.26,52.0,34,37509.0,8.41,0.0921142312658,0.414536827015,0.0881977143086,3.84615384615,5.29368028978e-07,0.000574686475373,0.000122271485351
13,Primecoin,8410671.0,,1.86,56.0,4,67757.0,9.18,0.0856219294164,0.805607543084,0.159322096788,0.537634408602,5.70088646592e-07,0.000665820836411,0.000131676984225
14,Infinitecoin,7016202.0,,7.8e-05,60.0,90,24984.0,1.15,0.0714260196856,0.356090089767,0.0587467459619,12820.5128205,6.10809264205e-07,0.000855163520092,0.000141082483098
15,Novacoin,6063766.0,,8.51,64.0,712,44888.0,9.47,0.0617300741462,0.740266032693,0.105548508355,0.117508813161,6.51529881819e-07,0.00105544969908,0.000150487981971
16,Worldcoin,5807044.0,,0.13,68.0,45,94779.0,9.45,0.0591166045475,1.6321384856,0.222860944425,7.69230769231,6.92250499433e-07,0.00117099164394,0.000159893480844
17,Vertcoin,4097350.0,,2.06,72.0,1,145371.0,11.78,0.0417116556449,3.54792731888,0.341821694173,0.485436893204,7.32971117047e-07,0.00175723333374,0.000169298979717
18,DarkCoin,4007994.0,,1.17,76.0,3,73662.0,8.41,0.040801997768,1.83787700281,0.173206964499,0.854700854701,7.7369173466e-07,0.00189621042347,0.000178704478591
19,MaxCoin,3869620.0,,0.88,80.0,4,220842.0,12.26,0.0393933290826,5.70707201224,0.519282295538,1.13636363636,8.14412352274e-07,0.00206738646172,0.000188109977464
20,YbCoin,3341398.0,,3.07,84.0,1,55882.0,0.1,0.0340159475633,1.67241376214,0.131399522008,0.325732899023,8.55132969888e-07,0.00251391782721,0.000197515476337
21,Tickets,2681761.0,,4e-05,66876281414.0,TIX,30137.0,1.91,0.0273007410531,1.12377650357,0.0708633798853,25000.0,680.810870721,2493745.02105,157251.197371
22,Devcoin,2518667.0,,0.0004,91.0,6,56896.0,3.9,0.0256404189508,2.25897270262,0.133783815972,2500.0,9.26394050712e-07,0.0036130222852,0.000213975099365
23,Digitalcoin,2153409.0,,0.16,95.0,13,31627.0,2.65,0.0219220361137,1.46869452111,0.0743669282156,6.25,9.67114668325e-07,0.00441160968492,0.000223380598238
24,Zetacoin,2083114.0,,0.013,99.0,160,16124.0,4.37,0.0212064221599,0.774033490246,0.0379135659578,76.9230769231,1.00783528594e-06,0.00475250034324,0.000232786097111
25,Freicoin,1955694.0,,0.051,103.0,38,8453.0,8.34,0.0199092668858,0.432225082247,0.0198761704938,19.6078431373,1.04855590355e-06,0.00526667259806,0.000242191595985
26,NetCoin,1695794.0,,0.0076,107.0,223,18424.0,5.66,0.0172634447564,1.08645271772,0.0433217278099,131.578947368,1.08927652117e-06,0.00630972865808,0.000251597094858
27,Applecoin,1615546.0,,0.11,111.0,14,53549.0,15.36,0.0164465077258,3.31460695022,0.12591376479,9.09090909091,1.12999713878e-06,0.00687074215157,0.000261002593731
28,IXCoin,1567836.0,,0.086,115.0,18,4058.0,10.56,0.0159608125592,0.258828091714,0.00954187860685,11.6279069767,1.17071775639e-06,0.00733495084945,0.000270408092604
29,Mintcoin,1459537.0,,8.9e-05,119.0,16,162966.0,16.48,0.0148583120175,11.1655956649,0.383194132342,11235.9550562,1.21143837401e-06,0.00815327052346,0.000279813591477
30,Anoncoin,1280158.0,,1.7,123.0,754,12484.0,14.03,0.0130322061008,0.975192124722,0.0293545619832,0.588235294118,1.25215899162e-06,0.00960818898917,0.00028921909035
31,Unobtanium,1278696.0,,8.24,127.0,155,34452.0,-9.15,0.013017322715,2.69430732559,0.0810095617948,0.121359223301,1.29287960923e-06,0.00993199321809,0.000298624589224
32,Terracoin,1250629.0,,0.23,131.0,5,19561.0,7.78,0.0127315963214,1.56409294843,0.0459952408646,4.34782608696,1.33360022685e-06,0.0104747291163,0.000308030088097
33,UltraCoin,1243808.0,,0.25,135.0,4,61354.0,9.34,0.0126621574882,4.93275489465,0.144266244466,4.0,1.37432084446e-06,0.0108537652114,0.00031743558697
34,Copperlark,1163808.0,,0.18,139.0,6,844.0,4.54,0.0118477451359,0.0725205532184,0.00198456026224,5.55555555556,1.41504146208e-06,0.0119435508263,0.000326841085843
35,Mooncoin,971779.0,,3.6e-05,143.0,26,46185.0,-16.73,0.009892860266,4.75262379615,0.108598241365,27777.7777778,1.45576207969e-06,0.0147152799145,0.000336246584716
