#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,7128590706.0,,573.68,8.0,12,56331911.0,-3.57,75.8502119986,0.790225071452,72.2878377099,0.00174313205968,8.51222522115e-08,1.12224145416e-07,1.02659876332e-05
2,Ripple,1497868544.0,,0.015,12.0,99,160798.0,1.24,15.9377429978,0.0107351209587,0.20634378493,66.6666666667,1.27683378317e-07,8.01138394158e-07,1.53989814498e-05
3,Litecoin,368200161.0,,14.22,16.0,25,9339860.0,-4.94,3.91775337112,2.53662572407,11.985360907,0.070323488045,1.70244504423e-07,4.3454625214e-06,2.05319752664e-05
4,PPCoin,77673547.0,,3.67,20.0,21,875294.0,-5.11,0.826468407237,1.12688815408,1.12321967242,0.272479564033,2.12805630529e-07,2.57487919278e-05,2.5664969083e-05
5,DogeCoin,65568037.0,,0.0012,24.0,52,2378516.0,-1.57,0.697662372816,3.62755407791,3.05222698017,833.333333333,2.55366756635e-07,3.66032004283e-05,3.07979628995e-05
6,Nxt,54278293.0,,0.054,28.0,999,210485.0,-3.46,0.577536318295,0.387788540071,0.270104550871,18.5185185185,2.9792788274e-07,5.15859995818e-05,3.59309567161e-05
7,MasterCoin,33651487.0,,59.75,32.0,563,17284.0,-8.13,0.358061295463,0.0513617719181,0.0221796662815,0.0167364016736,3.40489008846e-07,9.50923803159e-05,4.10639505327e-05
8,Namecoin,27523280.0,,3.4,36.0,8,863936.0,-3.93,0.292855447731,3.13892820914,1.10864453648,0.294117647059,3.83050134952e-07,0.000130798364148,4.61969443493e-05
9,ProtoShares,26936378.0,,17.81,40.0,1,3093487.0,-2.96,0.286610645223,11.4844208082,3.96971241068,0.0561482313307,4.25611261058e-07,0.000148498064588,5.13299381659e-05
10,Quarkcoin,14759959.0,,0.06,44.0,247,148690.0,-5.42,0.157050119079,1.00738762215,0.190806212647,16.6666666667,4.68172387163e-07,0.000298103809096,5.64629319825e-05
11,Feathercoin,8635889.0,,0.25,48.0,34,95283.0,-6.67,0.0918882901911,1.10333747921,0.122271762457,4.0,5.10733513269e-07,0.000555820020382,6.15959257991e-05
12,Primecoin,7942940.0,,1.76,52.0,4,150314.0,-6.91,0.0845151177476,1.89242270494,0.192890208137,0.568181818182,5.53294639375e-07,0.000654669429707,6.67289196157e-05
