#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice
1,Bitcoin,10846621359.0,,880.74,5.0,12,33178647.0,+2.44,77.4795216476,0.305889234093,56.1577218899,0.00113540886073
2,Ripple,1992147816.0,,0.02,8.0,99,70908.0,+3.13,14.2302985166,0.00355937443148,0.120017906209,50.0
3,Litecoin,606738418.0,,24.11,11.0,25,13186822.0,+3.32,4.33405028496,2.1733949275,22.3198336716,0.0414765657404
4,PPCoin,127206770.0,,6.03,14.0,21,2219458.0,+1.68,0.90866264837,1.74476405619,3.75662410557,0.16583747927
5,Nxt,77299752.0,,0.077,17.0,999,265554.0,+2.69,0.552167132069,0.343537971506,0.449473050506,12.987012987
6,MasterCoin,68493083.0,,121.62,20.0,563,14453.0,4.37,0.489259386067,0.0211014008524,0.0244629491515,0.00822233185331
7,DogeCoin,60241039.0,,0.0016,23.0,36,4600994.0,11.77,0.430313434091,7.63764051281,7.78757920627,625.0
8,Namecoin,48246954.0,,6.13,26.0,7,1852409.0,+3.58,0.344637356938,3.83943201886,3.13536201306,0.163132137031
9,Quarkcoin,22009416.0,,0.089,29.0,247,91625.0,+3.96,0.157217530416,0.416299096714,0.155083215665,11.2359550562
10,ProtoShares,16791647.0,,12.16,32.0,1,12724.0,0.43,0.119945993704,0.0757757711319,0.0215364675156,0.0822368421053
11,Worldcoin,13986790.0,,0.33,35.0,41,155240.0,1.71,0.0999103557428,1.10990441695,0.262757090312,3.0303030303
12,MegaCoin,13886610.0,,0.63,38.0,21,33786.0,1.39,0.0991947505583,0.24329912052,0.05718571923,1.5873015873
13,Primecoin,13876606.0,,3.32,41.0,4,353503.0,+4.67,0.0991232900446,2.54747450493,0.598334319096,0.301204819277
14,Infinitecoin,11755018.0,,0.00013,44.0,89,181727.0,+21.06,0.0839683751699,1.54595254554,0.307588622462,7692.30769231
15,Feathercoin,10156069.0,,0.33,47.0,31,1198418.0,4.96,0.0725467721142,11.8000182945,2.0284258352,3.0303030303
16,Novacoin,8393510.0,,14.64,50.0,573,67784.0,+2.12,0.0599564710724,0.807576329807,0.114730266746,0.068306010929
17,Tickets,4408821.0,,6.6,5.0,66,52636.0,+15.91,0.0314930641353,1.19387927067,0.0890909701471,0.151515151515
18,Devcoin,3967597.0,,0.00064,55.0,6,7069.0,+5.39,0.0283413154637,0.178168296831,0.0119648922405,1562.5
19,YbCoin,3881709.0,,4.04,58.0,961,990.0,+9.92,0.0277278008092,0.0255042302244,0.00167566039299,0.247524752475
