#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,7426871536.0,,597.42,8.0,12,32492103.0,5.26,75.9857822435,0.437493806679,72.3186040622,0.00167386428308,8.18495721922e-08,1.07716956746e-07,1.78058290809e-05
2,Ripple,1557784932.0,,0.016,12.0,99,100114.0,4.51,15.9380037815,0.0064266894578,0.222826596576,62.5,1.22774358288e-07,7.70324564932e-07,2.67087436214e-05
3,Litecoin,381282217.0,,14.7,16.0,25,6116643.0,6.2,3.90097329324,1.60422981384,13.6139874759,0.0680272108844,1.63699144384e-07,4.19636670335e-06,3.56116581618e-05
4,PPCoin,80500716.0,,3.8,20.0,21,554300.0,5.42,0.823618645721,0.688565304189,1.23372138244,0.263157894737,2.04623930481e-07,2.48444995197e-05,4.45145727023e-05
5,DogeCoin,67315983.0,,0.0013,24.0,52,1359290.0,6.6,0.688723051281,2.01926784609,3.02541067642,769.230769231,2.45548716577e-07,3.56527512938e-05,5.34174872427e-05
6,Nxt,54050992.0,,0.054,28.0,999,155863.0,2.86,0.553006321471,0.288362885181,0.346908742255,18.5185185185,2.86473502673e-07,5.18029345326e-05,6.23204017832e-05
7,MasterCoin,30387661.0,,53.96,32.0,563,6617.0,12.55,0.310902131597,0.021775285699,0.0147276463785,0.0185322461082,3.27398288769e-07,0.000105305900313,7.12233163236e-05
8,Namecoin,27957747.0,,3.45,36.0,8,512162.0,5.68,0.286041203926,1.83191442429,1.13993362922,0.289855072464,3.68323074865e-07,0.000128765740673,8.01262308641e-05
9,ProtoShares,25163855.0,,16.48,40.0,1,841217.0,0.57,0.257456345807,3.34295758738,1.87232076524,0.0606796116505,4.09247860961e-07,0.000158958156451,8.90291454046e-05
10,Quarkcoin,15382475.0,,0.062,44.0,247,141590.0,1.92,0.157381124751,0.920463059423,0.315140917446,16.1290322581,4.50172647057e-07,0.000286039795287,9.7932059945e-05
11,Feathercoin,9161007.0,,0.27,48.0,34,49876.0,6.98,0.093728062975,0.54443796408,0.111010441405,3.7037037037,4.91097433153e-07,0.000523959865984,0.000106834974485
12,MegaCoin,8974004.0,,0.4,52.0,22,307060.0,19.1,0.0918147985314,3.42166105564,0.683432234698,2.5,5.3202221925e-07,0.000579451491218,0.000115737889026
13,Primecoin,8268962.0,,1.82,56.0,4,68071.0,4.09,0.0846013752717,0.823210942317,0.151507573921,0.549450549451,5.72947005346e-07,0.000677231313918,0.000124640803566
14,Infinitecoin,7599739.0,,8.4e-05,60.0,90,130961.0,7.04,0.0777544232403,1.72323023199,0.291483647783,11904.7619048,6.13871791442e-07,0.00078950079733,0.000133543718107
15,Novacoin,5913972.0,,8.3,64.0,712,43947.0,4.93,0.0605070097696,0.743104634246,0.0978140963274,0.120481927711,6.54796577538e-07,0.00108218300662,0.000142446632647
16,Worldcoin,5815405.0,,0.13,68.0,45,99270.0,9.23,0.0594985514218,1.70701782593,0.220948081608,7.69230769231,6.95721363634e-07,0.00116930807055,0.000151349547188
17,Vertcoin,4038444.0,,2.02,72.0,1,138223.0,7.07,0.0413181142153,3.42267962611,0.307646889131,0.49504950495,7.3664614973e-07,0.00178286488558,0.000160252461728
18,MaxCoin,3810132.0,,0.86,76.0,4,331783.0,3.39,0.0389822092745,8.7079135316,0.738458923744,1.16279069767,7.77570935826e-07,0.00199468154909,0.000169155376269
19,DarkCoin,3615672.0,,1.05,80.0,3,96917.0,-6.2,0.0369926507984,2.68046990988,0.215710942129,0.952380952381,8.18495721922e-07,0.00221259008007,0.000178058290809
20,YbCoin,3342829.0,,3.07,84.0,1,52655.0,-2.46,0.0342011404452,1.57516283364,0.117195741282,0.325732899023,8.59420508018e-07,0.00251284166794,0.00018696120535
21,Tickets,2739414.0,,4.1e-05,66876281414.0,TIX,35553.0,8.73,0.0280274829947,1.29783231012,0.0791313301642,24390.2439024,684.224377943,2441262.30698,148848.454553
22,Devcoin,2561412.0,,0.0004,91.0,6,55957.0,-1.13,0.026206309551,2.18461536059,0.124545097235,2500.0,9.31038883687e-07,0.00355272794849,0.000202541305795
23,Digitalcoin,2083216.0,,0.15,95.0,13,30671.0,-0.94,0.021313792298,1.47229091942,0.0682653229676,6.66666666667,9.71963669783e-07,0.00456025683366,0.000211444220336
24,Zetacoin,2018026.0,,0.013,99.0,160,14734.0,-0.41,0.0206468205966,0.730119433545,0.0327938857098,76.9230769231,1.01288845588e-06,0.0049057841673,0.000220347134876
