#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice
1,Bitcoin,8629716365.0,,697.62,5.0,12,44920631.0,4.60,76.3044420906,0.520534269031,77.2272276618,0.00143344514205
2,Ripple,1793393264.0,,0.018,9.0,99,82712.0,5.06,15.8572850683,0.00461203918072,0.142197879063,55.5555555556
3,Litecoin,473709384.0,,18.54,13.0,25,8023848.0,3.23,4.18856527033,1.69383344958,13.7945421163,0.0539374325782
4,PPCoin,99991811.0,,4.73,17.0,21,1232412.0,5.95,0.884133270351,1.23251293048,2.11875389945,0.211416490486
5,DogeCoin,51936959.0,,0.0011,21.0,45,839009.0,0.94,0.459229540434,1.61543728427,1.44241827443,909.090909091
6,Nxt,48284501.0,,0.048,25.0,999,117573.0,8.44,0.426934299414,0.243500497189,0.202130661029,20.8333333333
7,MasterCoin,35751787.0,,63.48,29.0,563,2405.0,4.35,0.316119330624,0.00672693647453,0.00413465880581,0.0157529930687
8,Namecoin,34603564.0,,4.34,33.0,7,1094488.0,6.88,0.305966677662,3.16293431509,1.88163594472,0.230414746544
9,Quarkcoin,19400312.0,,0.078,37.0,247,108107.0,2.72,0.171538660245,0.557243615464,0.185856781505,12.8205128205
10,ProtoShares,15786874.0,,10.96,41.0,1,21832.0,1.28,0.139588436279,0.138292102667,0.0375334183153,0.0912408759124
11,MegaCoin,11000475.0,,0.50,45.0,22,24103.0,4.65,0.0972668245519,0.219108720305,0.0414377052791,2.0
12,Primecoin,10178841.0,,2.34,49.0,4,172522.0,5.72,0.0900018900719,1.69490809415,0.296598588979,0.42735042735
13,Infinitecoin,8722933.0,,9.7,5.0,53,29376.0,6.08,0.0771286688701,0.336767461128,0.0505030091806,0.103092783505
14,Worldcoin,8438514.0,,0.19,57.0,43,147769.0,11.51,0.0746138199229,1.75112584988,0.254043408347,5.26315789474
15,Novacoin,7067051.0,,10.13,61.0,697,35743.0,2.44,0.0624872662059,0.505769662622,0.0614491100607,0.0987166831194
16,Feathercoin,7036843.0,,0.22,65.0,32,85781.0,4.60,0.0622201653547,1.21902677095,0.147474081921,4.54545454545
17,Vertcoin,6328933.0,,4.00,69.0,1,436083.0,19.77,0.0559607849399,6.89030836635,0.749710775889,0.25
18,YbCoin,3582051.0,,3.51,73.0,1,592.0,+10.47,0.0316726983292,0.0165268445368,0.00101776216758,0.2849002849
19,Tickets,3190737.0,,4.8,5.0,66,3143.0,0.95,0.0282126777226,0.0985038879732,0.00540342312958,0.208333333333
20,Digitalcoin,2684665.0,,0.21,80.0,13,15302.0,6.74,0.023737960364,0.569978004704,0.0263070890006,4.7619047619
21,Zetacoin,2683960.0,,0.017,84.0,160,25065.0,+2.59,0.023731726714,0.9338812799,0.0430915688015,58.8235294118
22,Devcoin,2522327.0,,0.0004,88.0,6,5075.0,4.11,0.0223025585506,0.201203095396,0.00872490371703,2500.0
23,Mooncoin,2063059.0,,7.7,5.0,92,72951.0,4.46,0.0182416848175,3.53605980246,0.125416837648,0.12987012987
24,NetCoin,1853849.0,,0.0084,96.0,219,8292.0,8.60,0.0163918381187,0.44728562035,0.0142555471176,119.047619048
25,Kittehcoin,1843107.0,,0.0003,100.0,6,92308.0,+0.14,0.0162968567448,5.00828221042,0.158695253658,3333.33333333
26,Anoncoin,1742867.0,,2.42,104.0,720,13742.0,7.87,0.0154105289732,0.788470950451,0.0236251481536,0.413223140496
27,IXCoin,1637943.0,,0.091,108.0,18,844.0,+10.62,0.0144827850076,0.0515280446267,0.00145099876595,10.989010989
28,Unobtanium,1536128.0,,10.32,112.0,148,143143.0,+7.81,0.0135825309966,9.3184291934,0.24609042222,0.0968992248062
29,Freicoin,1473843.0,,0.04,116.0,37,349.0,2.36,0.0130318034901,0.0236795913812,0.000599998304876,25.0
30,Copperlark,1277673.0,,0.21,120.0,6,1083.0,2.72,0.0112972572117,0.0847634723439,0.00186188585725,4.7619047619
31,Terracoin,1220107.0,,0.24,124.0,5,18517.0,4.06,0.0107882553711,1.51765377955,0.0318342940154,4.16666666667
32,FedoraCoin,1066516.0,,8.4,6.0,128,29333.0,5.00,0.00943019502828,2.75035723796,0.050429083888,0.119047619048
34,EarthCoin,985095.0,,0.00082,136.0,1,27167.0,7.58,0.00871026592324,2.75780508479,0.0467053121735,1219.51219512
35,SecureCoin,955385.0,,0.81,140.0,1,3399.0,1.95,0.00844756841632,0.355772803634,0.00584353649935,1.23456790123
36,LeafCoin,874746.0,,0.0001,144.0,8,17095.0,19.88,0.00773455379967,1.95428158574,0.0293896017818,10000.0
37,TagCoin,861248.0,,1.03,148.0,835,3308.0,1.90,0.00761520371726,0.384093780189,0.00568708994994,0.970873786408
38,LottoCoin,799105.0,,0.00013,152.0,6,26256.0,2.81,0.00706573178281,3.28567584986,0.0451391274866,7692.30769231
39,CryptogenicBullion,727068.0,,0.77,156.0,940,12998.0,4.85,0.00642877653858,1.7877282455,0.0223460686727,1.2987012987
40,BBQCoin,721203.0,,0.023,160.0,31,1478.0,2.46,0.00637691787557,0.204935364939,0.00254096703326,43.4782608696
41,Sexcoin,700120.0,,0.012,164.0,58,5494.0,+1.31,0.00619050079249,0.78472261898,0.00944524552146,83.3333333333
42,GoldCoin,645959.0,,0.022,168.0,29,2237.0,+1.19,0.00571160615525,0.346306808946,0.0038458344069,45.4545454545
43,Extremecoin,547312.0,,0.16,172.0,3,4.0,5.26,0.00483936378012,0.000730844563978,6.87677140259e-06,6.25
44,Frozen,511613.0,,0.092,176.0,5,4513.0,12.39,0.00452371119515,0.882112065174,0.00775871733497,10.8695652174
45,MemoryCoin,484552.0,,0.13,180.0,3,7047.0,10.81,0.00428443629664,1.45433307468,0.0121151520185,7.69230769231
46,BitBar,480302.0,,49.83,184.0,9,1220.0,7.00,0.00424685755532,0.254006854021,0.00209741527779,0.0200682319888
47,DigiByte,479977.0,,0.0011,188.0,454,16539.0,18.69,0.00424398388687,3.44579011078,0.0284337305569,909.090909091
48,SmartCoin,397561.0,,0.19,192.0,2,104832.0,+149.58,0.00351525693533,26.3687836584,0.180226424919,5.26315789474
