#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice
1,Bitcoin,8639453922.0,,698.41,5.0,12,46713160.0,4.10,76.2882342821,0.540695747923,77.2552904924,0.00143182371386
2,Ripple,1795424142.0,,0.018,9.0,99,86138.0,4.65,15.8539809133,0.00479764073485,0.142456990973,55.5555555556
3,Litecoin,475874054.0,,18.63,13.0,25,8298947.0,1.79,4.20207013639,1.74393769323,13.7249880176,0.0536768652711
4,PPCoin,100227562.0,,4.74,17.0,21,1328002.0,3.27,0.885030905937,1.32498683346,2.19628002654,0.210970464135
5,DogeCoin,52276378.0,,0.0011,21.0,45,866633.0,+0.70,0.461611649103,1.65779082858,1.43325744106,909.090909091
6,Nxt,48427091.0,,0.048,25.0,999,115974.0,7.97,0.42762161789,0.239481657075,0.191800448943,20.8333333333
7,MasterCoin,35792273.0,,63.56,29.0,563,2407.0,3.84,0.316053460412,0.00672491517932,0.00398075155299,0.0157331655129
8,Namecoin,34732277.0,,4.35,33.0,7,1192594.0,5.30,0.306693467996,3.43367640423,1.97233918471,0.229885057471
9,Quarkcoin,19469316.0,,0.079,37.0,247,109323.0,2.27,0.171918243182,0.561514333631,0.180800873298,12.6582278481
10,ProtoShares,15536469.0,,10.78,41.0,1,18335.0,2.18,0.137190359216,0.118012657831,0.0303228415971,0.0927643784787
11,MegaCoin,11021623.0,,0.50,45.0,22,24374.0,4.07,0.09732329904,0.22114710329,0.0403102776704,2.0
12,Primecoin,10162417.0,,2.34,49.0,4,173446.0,5.48,0.0897363254632,1.70673964668,0.286848954657,0.42735042735
13,Infinitecoin,8800161.0,,9.8,5.0,53,28855.0,3.37,0.0777073123081,0.327891728345,0.0477210577738,0.102040816327
14,Worldcoin,8639136.0,,0.20,57.0,43,145470.0,9.55,0.0762854269626,1.68384894045,0.240581607152,5.0
15,Novacoin,7079011.0,,10.15,61.0,697,35328.0,1.95,0.0625091880262,0.499052763161,0.0584262529556,0.0985221674877
16,Feathercoin,7050006.0,,0.22,65.0,32,87557.0,3.93,0.0622530676446,1.24194220544,0.144803765569,4.54545454545
17,Vertcoin,6328933.0,,4.00,69.0,1,436083.0,19.89,0.055885838135,6.89030836635,0.721204021389,0.25
18,YbCoin,3585894.0,,3.52,73.0,1,593.0,+11.05,0.0316642144345,0.0165370197781,0.000980716938482,0.284090909091
19,Tickets,3209911.0,,4.8,5.0,66,3203.0,0.13,0.0283442037661,0.0997846980804,0.00529719452606,0.208333333333
20,Zetacoin,2677041.0,,0.017,80.0,160,24763.0,+0.94,0.0236388471812,0.925013849246,0.0409536147515,58.8235294118
21,Digitalcoin,2650350.0,,0.20,84.0,13,15016.0,7.48,0.0234031599167,0.566566679872,0.0248338036227,5.0
22,Devcoin,2523455.0,,0.0004,88.0,6,3353.0,2.34,0.0222826498039,0.132873381931,0.00554526795064,2500.0
23,Mooncoin,2223974.0,,8.3,5.0,92,82476.0,4.54,0.0196381682316,3.70849659214,0.136400691768,0.120481927711
24,NetCoin,1853983.0,,0.0084,96.0,219,8302.0,5.29,0.0163710682106,0.447792671238,0.0137300371387,119.047619048
25,Kittehcoin,1844672.0,,0.0003,100.0,6,91763.0,1.55,0.0162888500801,4.97448868959,0.151759744394,3333.33333333
26,Anoncoin,1763401.0,,2.45,104.0,720,12477.0,3.95,0.0155712096894,0.707553188413,0.020634747456,0.408163265306
27,IXCoin,1639781.0,,0.091,108.0,18,845.0,+11.20,0.0144796185302,0.0515312715539,0.00139748029177,10.989010989
28,Unobtanium,1557493.0,,10.47,112.0,148,149595.0,+9.18,0.0137529978109,9.60485857721,0.247403626327,0.0955109837631
29,Freicoin,1475207.0,,0.04,116.0,37,389.0,2.46,0.0130263947521,0.0263691807319,0.000643337081061,25.0
30,Terracoin,1253044.0,,0.24,120.0,5,20031.0,3.70,0.0110646477313,1.59858712064,0.0331277251176,4.16666666667
31,Copperlark,1174513.0,,0.19,124.0,6,1030.0,14.70,0.0103712021293,0.0876959216288,0.00170343751541,5.26315789474
33,FedoraCoin,1049327.0,,8.3,6.0,132,29640.0,7.29,0.00926578285356,2.82466762029,0.0490193086958,0.120481927711
34,EarthCoin,1010526.0,,0.00084,136.0,1,27143.0,4.02,0.00892316168733,2.68602688105,0.044889713088,1190.47619048
35,SecureCoin,956398.0,,0.81,140.0,1,4213.0,7.63,0.00844519981815,0.440506985585,0.00696755558486,1.23456790123
