#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,7061500819.0,,568.13,8.0,12,26177425.0,-1.58,75.9143673917,0.370706251702,74.2528458827,0.00176016052664,8.6003663343e-08,1.13290364259e-07,2.26921772123e-05
2,Ripple,1497268618.0,,0.015,12.0,99,16128.0,-0.22,16.0963232696,0.00107716142622,0.04574742926,66.6666666667,1.29005495015e-07,8.01459394509e-07,3.40382658184e-05
3,Litecoin,359552454.0,,13.87,16.0,25,3844475.0,-2.79,3.865353526,1.0692389823,10.9049384985,0.0720980533526,1.72007326686e-07,4.44997658116e-06,4.53843544246e-05
4,PPCoin,75555236.0,,3.57,20.0,21,362863.0,-4.54,0.812253385093,0.480261884166,1.02926893747,0.280112044818,2.15009158358e-07,2.64707001908e-05,5.67304430307e-05
5,DogeCoin,64112280.0,,0.0012,24.0,52,1166117.0,-1.11,0.689236368159,1.81886683799,3.30771670178,833.333333333,2.58010990029e-07,3.74343261541e-05,6.80765316369e-05
6,Nxt,51284311.0,,0.051,28.0,999,184594.0,-6.54,0.551329827253,0.359942439316,0.523604970041,19.6078431373,3.01012821701e-07,5.45975941843e-05,7.9422620243e-05
7,Namecoin,26368614.0,,3.26,32.0,8,293131.0,-3.9,0.28347467516,1.11166631663,0.831472574802,0.306748466258,3.44014653372e-07,0.00012135639742,9.07687088492e-05
8,MasterCoin,25832717.0,,45.87,36.0,563,28639.0,-23.21,0.277713537013,0.110863290145,0.0812351578978,0.0218007412252,3.87016485044e-07,0.000139358163526,0.000102114797455
9,ProtoShares,25270749.0,,16.61,40.0,1,305390.0,-0.88,0.271672123678,1.2084722934,0.866245499858,0.0602046959663,4.30018316715e-07,0.000158285771427,0.000113460886061
10,Quarkcoin,14632110.0,,0.059,44.0,247,162655.0,-1.01,0.157301882805,1.11163051672,0.461374510558,16.9491525424,4.73020148387e-07,0.000300708510256,0.000124806974668
11,Feathercoin,8583148.0,,0.25,48.0,34,36901.0,-0.96,0.0922727713769,0.429923846123,0.104670503914,4.0,5.16021980058e-07,0.000559235376111,0.000136153063274
12,Primecoin,7791325.0,,1.72,52.0,4,35856.0,-2.29,0.083760311537,0.460204137294,0.101706338265,0.581395348837,5.5902381173e-07,0.000667408945205,0.00014749915188
13,MegaCoin,7348410.0,,0.33,56.0,22,31378.0,-2.46,0.0789987724683,0.427003936906,0.0890043920709,3.0303030303,6.02025643401e-07,0.000762069617781,0.000158845240486
14,Infinitecoin,6930157.0,,7.7e-05,60.0,90,167941.0,-1.37,0.0745023611928,2.42333615241,0.476368366651,12987.012987,6.45027475073e-07,0.00086578125142,0.000170191329092
15,Novacoin,5650152.0,,7.94,64.0,712,37898.0,-0.11,0.0607417213056,0.670743017179,0.107498516499,0.125944584383,6.88029306744e-07,0.00113271288985,0.000181537417698
16,Worldcoin,5317829.0,,0.12,68.0,45,42488.0,-4.38,0.057169096879,0.798972663468,0.120518153174,8.33333333333,7.31031138416e-07,0.00127871731114,0.000192883506304
17,Vertcoin,3842025.0,,1.94,72.0,1,141591.0,4.75,0.0413035280819,3.68532219337,0.401626007958,0.515463917526,7.74032970087e-07,0.00187401175162,0.000204229594911
18,MaxCoin,3592228.0,,0.84,76.0,4,623740.0,-10.86,0.0386180959454,17.3635971882,1.7692523268,1.19047619048,8.17034801759e-07,0.00211567862619,0.000215575683517
19,DarkCoin,3589385.0,,1.05,80.0,3,115262.0,-7.53,0.0385875323936,3.21119077502,0.32694321623,0.952380952381,8.6003663343e-07,0.00222879406918,0.000226921772123
20,YbCoin,3298093.0,,3.04,84.0,1,65239.0,-6.12,0.0354560100057,1.97808248585,0.185051868644,0.328947368421,9.03038465102e-07,0.00254692636017,0.000238267860729
21,Devcoin,2550205.0,,0.0004,88.0,6,55295.0,-3.72,0.0274158715345,2.16825706169,0.156845492369,2500.0,9.46040296773e-07,0.0034507029827,0.000249613949335
22,Tickets,2477182.0,,3.7e-05,66876281414.0,TIX,30028.0,-5.72,0.0266308408459,1.21218384438,0.0851750871663,27027.027027,718.950649045,2699691.88433,189696.053643
23,Digitalcoin,2170040.0,,0.16,95.0,13,20069.0,2.66,0.0233289237001,0.924821662274,0.0569261630592,6.25,1.0212935022e-06,0.00437779948757,0.000269469604396
