#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,6860988366.0,,552.21,8.0,12,61353899.0,-11.98,75.7687074991,0.894242865999,71.3943581747,0.00181090527155,8.83472799629e-08,1.16601276277e-07,9.30918612683e-06
2,Ripple,1450656767.0,,0.015,12.0,99,97462.0,-5.18,16.0201974405,0.00671847415716,0.113411487287,66.6666666667,1.32520919944e-07,8.27211527425e-07,1.39637791902e-05
3,Litecoin,355205969.0,,13.72,16.0,25,10888937.0,-12.66,3.92268514847,3.06552759534,12.670892657,0.0728862973761,1.76694559926e-07,4.5044288093e-06,1.86183722537e-05
4,PPCoin,74682371.0,,3.53,20.0,21,1004330.0,-12.93,0.824748042378,1.34480197475,1.16868686285,0.28328611898,2.20868199907e-07,2.67800817411e-05,2.32729653171e-05
5,DogeCoin,64350150.0,,0.0012,24.0,52,1794422.0,-7.56,0.710645089713,2.78852807647,2.08807604851,833.333333333,2.65041839889e-07,3.72959503591e-05,2.79275583805e-05
6,Nxt,52868485.0,,0.053,28.0,999,303232.0,-13.83,0.583848355688,0.573559087233,0.352855390951,18.8679245283,3.0921547987e-07,5.29616084138e-05,3.25821514439e-05
7,MasterCoin,31140216.0,,55.3,32.0,563,19951.0,-13.34,0.343894172632,0.0640682774969,0.0232159465521,0.0180831826401,3.53389119851e-07,0.000102761008466,3.72367445073e-05
8,Namecoin,25817124.0,,3.19,36.0,8,1135721.0,-15.04,0.285109085233,4.39909960536,1.32157977214,0.313479623824,3.97562759833e-07,0.000139442332926,4.18913375707e-05
9,ProtoShares,24207708.0,,16.05,40.0,1,4634537.0,-16.44,0.267335644492,19.1448814568,5.39297094309,0.0623052959502,4.41736399814e-07,0.000165236626284,4.65459306342e-05
10,Quarkcoin,14639378.0,,0.059,44.0,247,94807.0,-8.81,0.161668653331,0.64761631266,0.110322001141,16.9491525424,4.85910039796e-07,0.000300559217748,5.12005236976e-05
11,Feathercoin,8430914.0,,0.25,48.0,34,154470.0,-10.03,0.0931060399376,1.83218569185,0.179748747626,4.0,5.30083679777e-07,0.000569333289368,5.5855116761e-05
12,Primecoin,7775131.0,,1.72,52.0,4,157981.0,-12.92,0.0858639594006,2.03187573303,0.183834316688,0.581395348837,5.74257319759e-07,0.000668799020878,6.05097098244e-05
13,MegaCoin,7602323.0,,0.34,56.0,22,231002.0,-8.45,0.0839555698061,3.03857123671,0.268805076709,2.94117647059,6.1843095974e-07,0.000736616952476,6.51643028878e-05
14,Infinitecoin,7052668.0,,7.8e-05,60.0,90,302604.0,-9.67,0.0778855042851,4.29063157375,0.35212461984,12820.5128205,6.62604599722e-07,0.000850741875273,6.98188959512e-05
15,Novacoin,5432825.0,,7.64,64.0,710,58222.0,-14.5,0.059996913908,1.07167081583,0.0677499293345,0.130890052356,7.06778239703e-07,0.00117802432436,7.44734890147e-05
16,Worldcoin,5416913.0,,0.12,68.0,45,167258.0,-11.09,0.0598211911682,3.08769958092,0.19462948165,8.33333333333,7.50951879684e-07,0.00125532752695,7.91280820781e-05
17,MaxCoin,3842384.0,,0.97,72.0,3,867687.0,-14.53,0.0424330218716,22.5819959692,1.00968247285,1.03092783505,7.95125519666e-07,0.00187383665974,8.37826751415e-05
18,DarkCoin,3709142.0,,1.09,76.0,3,90362.0,6.7,0.040961575837,2.43619683474,0.105149584599,0.917431192661,8.39299159647e-07,0.00204899138399,8.84372682049e-05
19,Vertcoin,3493845.0,,1.8,80.0,1,233395.0,-25.75,0.0385839627952,6.68017613832,0.271589687009,0.555555555556,8.83472799629e-07,0.00228974095874,9.30918612683e-05
20,YbCoin,3342566.0,,3.12,84.0,1,261870.0,0.04,0.0369133267745,7.83440027811,0.304724571379,0.320512820513,9.2764643961e-07,0.00251303938352,9.77464543317e-05
21,Devcoin,2821946.0,,0.00045,88.0,6,32234.0,-15.99,0.0311639066628,1.14226140401,0.0375090382015,2222.22222222,9.71820079592e-07,0.00311841544806,0.000102401047395
22,Tickets,2598649.0,,3.9e-05,66876281414.0,TIX,90556.0,-7.39,0.028697946341,3.48473379822,0.105375332363,25641.025641,738.54219462,2573501.90095,77820.4688942
23,Zetacoin,2012474.0,,0.013,95.0,160,19653.0,-4.46,0.022224575487,0.976559200268,0.0228691793688,76.9230769231,1.04912394956e-06,0.0047205578805,0.000110546585256
24,Digitalcoin,1983874.0,,0.15,99.0,13,21480.0,-7.74,0.0219087339611,1.08273005241,0.0249951647505,6.66666666667,1.09329758954e-06,0.00499023627509,0.00011520117832
25,Freicoin,1677889.0,,0.044,103.0,38,78470.0,20.05,0.0185296161537,4.67670984195,0.0913114794216,22.7272727273,1.13747122952e-06,0.00613866590698,0.000119855771383
26,NetCoin,1576015.0,,0.0071,107.0,223,53088.0,-1.34,0.0174045798038,3.36849585822,0.0617757591377,140.845070423,1.1816448695e-06,0.00678927548278,0.000124510364446
27,Applecoin,1458643.0,,0.098,111.0,14,105672.0,-11.44,0.0161083926859,7.24454167332,0.122965039549,10.2040816327,1.22581850948e-06,0.00760981268206,0.00012916495751
28,Unobtanium,1359682.0,,8.81,115.0,154,145893.0,-45.87,0.0150155257893,10.7299353819,0.16976813645,0.11350737798,1.26999214947e-06,0.00845785999962,0.000133819550573
29,Anoncoin,1341254.0,,1.79,119.0,750,31964.0,-3.55,0.0148120178299,2.38314293937,0.0371948531698,0.558659217877,1.31416578945e-06,0.00887229413668,0.000138474143637
30,IXCoin,1325277.0,,0.072,123.0,18,1343.0,-22.11,0.0146355772684,0.101337305333,0.00156277962104,13.8888888889,1.35833942943e-06,0.00928107859715,0.0001431287367
31,Mooncoin,1273735.0,,4.8e-05,127.0,26,16914.0,-2.88,0.0140663778304,1.32790572607,0.0196819467687,20833.3333333,1.40251306941e-06,0.00997067678913,0.000147783329763
32,Terracoin,1150297.0,,0.22,131.0,5,16312.0,-13.79,0.0127032013874,1.41806855099,0.0189814305126,4.54545454545,1.44668670939e-06,0.0113883631792,0.000152437922827
33,UltraCoin,1110477.0,,0.23,135.0,4,64409.0,-5.11,0.0122634528014,5.80012012856,0.0749494211554,4.34782608696,1.49086034937e-06,0.0121569379645,0.00015709251589
34,Copperlark,1063175.0,,0.17,139.0,6,596.0,-13.24,0.0117410774218,0.0560585040092,0.000693534366449,5.88235294118,1.53503398935e-06,0.013074047076,0.000161747108954
35,MinCoin,1060003.0,,0.66,143.0,1,134187.0,-21.58,0.0117060477253,12.6591151157,0.15614646985,1.51515151515,1.57920762934e-06,0.013490527857,0.000166401702017
36,Particle,857589.0,,0.0012,147.0,687,3002.0,-14.12,0.00947070693451,0.350051131719,0.00349327209409,833.333333333,1.62338126932e-06,0.0171410780689,0.000171056295081
37,FedoraCoin,845882.0,,5.7e-06,151.0,149,1222.0,-14.17,0.00934142173369,0.144464594352,0.00142197818087,175438.596491,1.6675549093e-06,0.0178511896458,0.000175710888144
38,Mintcoin,783969.0,,5e-05,155.0,15,62326.0,65.27,0.00865769109065,7.95005924979,0.0725255418176,20000.0,1.71172854928e-06,0.0197711899323,0.000180365481207
39,CacheCoin,756317.0,,3.31,159.0,228,5493.0,-18.51,0.00835231871746,0.726282762387,0.00639191992434,0.302114803625,1.75590218926e-06,0.021022930861,0.000185020074271
40,MemoryCoin,754882.0,,0.17,163.0,4,346350.0,45.7,0.00833647142412,45.8813430443,0.403029576879,5.88235294118,1.80007582924e-06,0.0215927787389,0.000189674667334
41,Kittehcoin,747831.0,,0.00011,167.0,6,19428.0,-23.31,0.00825860434024,2.59791316487,0.022607358509,9090.90909091,1.84424946922e-06,0.0223312486377,0.000194329260398
42,TopCoin,744418.0,,6.5e-05,171.0,11,8269.0,124.1,0.00822091318192,1.11080065232,0.00962220751035,15384.6153846,1.88842310921e-06,0.0229709652373,0.000198983853461
43,EarthCoin,716145.0,,0.00052,175.0,1,389.0,-16.86,0.00790868285113,0.0543186086617,0.000452659175417,1923.07692308,1.93259674919e-06,0.0244363920714,0.000203638446524
44,SecureCoin,709498.0,,0.56,179.0,1,23206.0,-6.65,0.00783527730489,3.27076327206,0.0270036216574,1.78571428571,1.97677038917e-06,0.0252291056493,0.000208293039588
45,ReddCoin,695685.0,,6.1e-05,183.0,11,21693.0,9.6,0.00768273468262,3.11822160892,0.0252430218312,16393.442623,2.02094402915e-06,0.0263050087324,0.000212947632651
46,TagCoin,622188.0,,0.69,187.0,903,37398.0,-4.31,0.00687107717819,6.01072344693,0.0435181178464,1.44927536232,2.06511766913e-06,0.0300552244659,0.000217602225715
47,LottoCoin,601913.0,,8e-05,191.0,7,21163.0,-19.11,0.00664717204054,3.51595662496,0.0246262882503,12500.0,2.10929130911e-06,0.0317321606279,0.000222256818778
48,BBQCoin,569543.0,,0.018,195.0,32,20820.0,-4.9,0.00628969685899,3.65556244217,0.0242271568951,55.5555555556,2.15346494909e-06,0.0342379767638,0.000226911411842
49,Colossuscoin,527834.0,,1.7e-06,199.0,312,186.0,-15.82,0.00582908727149,0.0352383514514,0.000216438577449,588235.294118,2.19763858908e-06,0.037701246983,0.000231566004905
50,Pandacoin-panda,495890.0,,9e-05,203.0,5,373156.0,-76.02,0.0054763165826,75.2497529694,0.434222332293,11111.1111111,2.24181222906e-06,0.0409364980137,0.000236220597968
52,BitBar,470712.0,,47.51,211.0,9,857.0,-15.1,0.00519826560574,0.182064617006,0.000997246563837,0.0210482003789,2.33015950902e-06,0.044825710838,0.000245529784095
53,LeafCoin,466612.0,,4e-05,215.0,11,4803.0,-28.11,0.00515298762475,1.02933486494,0.0055890026209,25000.0,2.374333149e-06,0.0460768261425,0.000250184377159
54,Extremecoin,466558.0,,0.13,219.0,3,2092.0,-10.2,0.00515239128061,0.448390125129,0.00243435217217,7.69230769231,2.41850678898e-06,0.0469395016268,0.000254838970222
55,Karmacoin,438936.0,,2.2e-05,223.0,20,109574.0,-3.63,0.00484735020972,24.9635482166,0.127505595083,45454.5454545,2.46268042896e-06,0.0508046731186,0.000259493563285
56,HunterCoin,393016.0,,0.57,227.0,691,4301.0,-15.08,0.00434023682274,1.09435748163,0.00500485119144,1.75438596491,2.50685406895e-06,0.0577584627598,0.000264148156349
57,I0Coin,385058.0,,0.019,20211714.0,I0C,778.0,-0.4,0.00425235336599,0.202047483756,0.000905318350834,52.6315789474,0.223206244411,5249.00508495,23.519325946
58,GoldCoin,357658.0,,0.012,234.0,29,4329.0,-18.18,0.00394976393212,1.21037415632,0.00503743334288,83.3333333333,2.58415793891e-06,0.0654256300712,0.00027229369421
59,RedCoin,350915.0,,0.0099,238.0,35,37081.0,-5.09,0.00387529821852,10.5669464115,0.0431492413461,101.01010101,2.6283315789e-06,0.0678226921049,0.000276948287273
60,Sexcoin,350445.0,,0.0057,242.0,61,5934.0,-17.28,0.00387010781582,1.69327569233,0.00690508880958,175.438596491,2.67250521888e-06,0.0690550585684,0.000281602880337
61,Yacoin,341638.0,,0.02,246.0,16,50779.0,12.07,0.00377284850399,14.8633934164,0.0590888952918,50.0,2.71667885886e-06,0.0720060414825,0.0002862574734
62,FlorinCoin,339274.0,,0.0083,250.0,41,1991.0,-21.07,0.00374674188277,0.5868413141,0.00231682369732,120.481927711,2.76085249884e-06,0.0736867546585,0.000290912066463
63,Frozen,323690.0,,0.055,254.0,5,1467.0,-8.88,0.0035746413814,0.453211405975,0.00170707200601,18.1818181818,2.80502613882e-06,0.0784701411845,0.000295566659527
64,HoboNickels,280020.0,,0.091,258.0,3,3169.0,-17.32,0.0030923756669,1.13170487822,0.00368760135449,10.989010989,2.8491997788e-06,0.0921362759803,0.00030022125259
65,Fastcoin,273012.0,,0.0045,262.0,60,2492.0,-13.59,0.00301498344965,0.912780390606,0.00289981147851,222.222222222,2.89337341878e-06,0.095966477664,0.000304875845654
66,Deutsche-eMark,266876.0,,0.056,266.0,4,4110.0,-13.51,0.00294722108592,1.54004106776,0.00478259437266,17.8571428571,2.93754705877e-06,0.0996717576702,0.000309530438717
67,Datacoin,221890.0,,0.13,270.0,1,17138.0,-3.8,0.00245042224387,7.72364685204,0.0199426039802,7.69230769231,2.98172069875e-06,0.121681914462,0.000314185031781
68,DigiByte,219444.0,,0.00038,274.0,580,3750.0,-9.2,0.00242341006302,1.70886422048,0.00436368099695,2631.57894737,3.02589433873e-06,0.124861012377,0.000318839624844
69,Philosopher-Stones,211909.0,,0.12,278.0,1,594.0,-8.02,0.00234019796871,0.280309000562,0.000691207069917,8.33333333333,3.07006797871e-06,0.131188387468,0.000323494217907
70,Catcoin,211878.0,,0.18,282.0,1,2803.0,-18.53,0.002339855623,1.32293112074,0.00326170608919,5.55555555556,3.11424161869e-06,0.133095460595,0.000328148810971
71,NobleCoin,202728.0,,0.00033,286.0,615,3565.0,-23.47,0.00223880842154,1.7585138708,0.00414840606777,3030.3030303,3.15841525867e-06,0.141075727083,0.000332803404034
72,VelocityCoin,199505.0,,0.0043,290.0,45,1771.0,-14.59,0.00220321551112,0.887697050199,0.00206082107883,232.558139535,3.20258889865e-06,0.145359765419,0.000337457997098
