#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice
50,RedCoin,366240.0,,0.011,200.0,33,741.0,7.49,0.00324735906467,0.202326343381,0.00127888277353,90.9090909091
51,FlorinCoin,355113.0,,0.0088,204.0,40,1258.0,10.58,0.00314869872087,0.354253434822,0.00217116670594,113.636363636
52,I0Coin,351257.0,,0.017,20176038.0,I0C,22.0,4.81,0.00311450852714,0.0062632203771,3.79695290387e-05,58.8235294118
53,Coino,322695.0,,0.068,211.0,4,13366.0,+6.25,0.00286125637116,4.14199166396,0.0230682147787,14.7058823529
54,ASICcoin,312089.0,,0.00073,215.0,428,1643.0,3.43,0.00276721560489,0.526452390184,0.00283563346412,1369.8630137
55,JKC,306529.0,,0.03,219.0,10,524.0,1.46,0.00271791646662,0.170946305244,0.000904365146195,33.3333333333
56,QQCoin,304417.0,,0.019,223.0,15,4996.0,3.46,0.00269918988748,1.64116984268,0.00862253486716,52.6315789474
57,USDeCoin,288209.0,,0.0012,227.0,243,9871.0,7.55,0.00255547757937,3.42494509193,0.0170362373246,833.333333333
58,Franko,281083.0,,2.57,231.0,109,5393.0,9.94,0.00249229310827,1.91865036306,0.00930771227754,0.389105058366
59,Catcoin,276639.0,,0.25,235.0,1,1443.0,+3.43,0.00245288926467,0.521618426903,0.0024904559274,4.0
60,Deutsche-eMark,274792.0,,0.064,239.0,4,2219.0,6.63,0.00243651237467,0.807519869574,0.00382974476986,15.625
61,Yacoin,268587.0,,0.017,243.0,16,1026.0,4.56,0.00238149418169,0.381999128774,0.00177076076335,58.8235294118
62,KlondikeCoin,242285.0,,0.059,247.0,4,11283.0,7.22,0.00214828088407,4.65691231401,0.0194731907338,16.9491525424
63,Datacoin,227949.0,,0.15,251.0,1,559.0,14.71,0.00202116713475,0.245230292741,0.000964771215121,6.66666666667
64,Philosopher-Stones,219857.0,,0.13,255.0,1,734.0,+12.37,0.00194941738172,0.333853368326,0.00126680155975,7.69230769231
65,GrandCoin,218430.0,,0.00065,259.0,334,1552.0,1.65,0.00193676452735,0.71052511102,0.00267857768491,1538.46153846
66,StableCoin,208199.0,,0.02,263.0,10,2023.0,3.06,0.00184604879288,0.971666530579,0.00349147078388,50.0
67,HoboNickels,196734.0,,0.068,267.0,2,8121.0,24.76,0.00174439148708,4.12790874989,0.0140159338783,14.7058823529
68,Bytecoin,190863.0,,0.094,271.0,2,2328.0,+13.21,0.0016923347891,1.21972304742,0.00401786652737,10.6382978723
69,Argentum,167029.0,,0.22,275.0,769,4895.0,5.00,0.00148100463415,2.93062881296,0.00844822021112,4.54545454545
70,Elacoin,165094.0,,0.73,279.0,225,9883.0,+8.92,0.00146384747003,5.98628660036,0.0170569479768,1.3698630137
71,FourtyTwo,160249.0,,121,806.0,283,6108.0,+2.94,0.00142088805907,3.81156824692,0.0105417219713,0.00826446280992
72,CasinoCoin,153229.0,,0.014,287.0,10,2891.0,+7.50,0.00135864346363,1.88671857155,0.00498954129323,71.4285714286
73,RonPaulCoin,153087.0,,7.10,291.0,21,9187.0,4.76,0.00135738438492,6.00116273753,0.015855730149,0.140845070423
74,eToken,144766.0,,0.60,295.0,242,640.0,8.05,0.0012836041458,0.442092756586,0.00110456811749,1.66666666667
75,Luckycoin,143041.0,,0.012,299.0,12,1852.0,8.30,0.00126830899948,1.29473367776,0.00319634398999,83.3333333333
76,Diamond,142058.0,,0.56,303.0,255,1663.0,10.07,0.00125959298277,1.17064860831,0.00287015121779,1.78571428571
77,GlobalCoin,130751.0,,0.0043,307.0,30,1994.0,12.85,0.0011593366237,1.52503613739,0.00344142004106,232.558139535
78,BattleCoin,128316.0,,0.016,311.0,8,1804.0,+17.39,0.00113774608383,1.40590417407,0.00311350138118,62.5
79,Xivra,116937.0,,0.00035,315.0,335,2113.0,2.81,0.00103685131866,1.80695588223,0.0036468006754,2857.14285714
80,Phenixcoin,90751.0,,0.0094,319.0,9,934.0,4.41,0.000804666564214,1.02918976099,0.00161197909646,106.382978723
81,Noirbits,88898.0,,0.041,323.0,2,361.0,0.37,0.000788236473709,0.406083376454,0.000623045453772,24.3902439024
82,Astrocoin,86323.0,,7.62,327.0,11,4057.0,3.96,0.000765404588629,4.69979032239,0.00700192633228,0.131233595801
83,TeslaCoin,84963.0,,0.0043,331.0,19,2427.0,13.45,0.000753345806606,2.85653755164,0.00418872940805,232.558139535
85,Joulecoin,72666.0,,0.017,339.0,4,2369.0,4.13,0.000644311363568,3.26012165249,0.0040886279224,58.8235294118
86,CraftCoin,69367.0,,0.22,343.0,321,1809.0,+1.51,0.000615059950412,2.60786829472,0.00312213081959,4.54545454545
