#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice
1,Bitcoin,8236220580.0,,665.65,5.0,12,34542649.0,6.56,76.1743785473,0.419399270144,78.8112978078,0.00150229099377
2,Ripple,1727051302.0,,0.017,9.0,99,21064.0,6.23,15.9729888693,0.00121965108828,0.0480588844539,58.8235294118
3,Litecoin,454891980.0,,17.80,13.0,25,5441462.0,5.03,4.20716195566,1.19620970236,12.4150490656,0.0561797752809
4,PPCoin,95956995.0,,4.54,17.0,21,708764.0,6.34,0.887477987068,0.73862671502,1.6170911119,0.220264317181
5,DogeCoin,50180637.0,,0.0011,21.0,46,854009.0,4.42,0.464105933231,1.70186958767,1.94847701546,909.090909091
6,Nxt,46575372.0,,0.047,25.0,999,69502.0,7.69,0.43076189901,0.149224787727,0.1585733283,21.2765957447
7,MasterCoin,34900194.0,,61.97,29.0,563,4934.0,4.12,0.322781616071,0.0141374572302,0.0112572415446,0.0161368404066
8,Namecoin,33792848.0,,4.23,33.0,7,672504.0,3.67,0.312540099034,1.99007790051,1.53436156622,0.236406619385
9,Quarkcoin,18313022.0,,0.074,37.0,247,92120.0,6.02,0.169371747226,0.50303002967,0.210177764712,13.5135135135
10,ProtoShares,14850240.0,,10.29,41.0,1,15365.0,6.22,0.13734549631,0.103466341285,0.0350562457099,0.0971817298348
11,MegaCoin,10375077.0,,0.47,45.0,22,17540.0,6.64,0.0959560316748,0.169058986261,0.040018649512,2.12765957447
12,Primecoin,9838351.0,,2.26,49.0,4,94352.0,5.56,0.0909920109686,0.959022502856,0.215270217717,0.442477876106
13,Infinitecoin,8311171.0,,9.2,5.0,53,11822.0,6.30,0.0768675729087,0.142242290527,0.0269726610337,0.108695652174
14,Worldcoin,7470100.0,,0.17,57.0,43,175534.0,16.17,0.0690887549282,2.34982128753,0.400492224826,5.88235294118
15,Novacoin,6698027.0,,9.59,61.0,698,32363.0,5.82,0.0619480791295,0.483172134122,0.0738382870101,0.104275286757
16,Feathercoin,6321485.0,,0.19,65.0,32,45764.0,12.10,0.0584655530645,0.723943820163,0.104413539126,5.26315789474
17,Vertcoin,5003515.0,,3.12,69.0,1,285090.0,22.44,0.0462760366815,5.6977944505,0.650451356293,0.320512820513
18,YbCoin,3008758.0,,2.94,73.0,1,7762.0,15.78,0.0278271166517,0.257980203127,0.0177095072698,0.340136054422
19,Tickets,2976235.0,,4.5,5.0,66,2562.0,7.38,0.0275263210029,0.0860819122146,0.00584536944412,0.222222222222
20,Digitalcoin,2517381.0,,0.19,80.0,13,10573.0,8.44,0.0232825154911,0.419999992055,0.0241229863906,5.26315789474
21,Zetacoin,2476447.0,,0.015,84.0,160,10485.0,10.53,0.0229039289803,0.423388830853,0.0239222086735,66.6666666667
22,Devcoin,2430037.0,,0.00039,88.0,6,11681.0,1.39,0.0224746965582,0.480692269295,0.0266509603734,2564.1025641
23,Unobtanium,1974802.0,,13.25,92.0,149,272079.0,+33.14,0.0182643621116,13.77753314,0.620765914515,0.0754716981132
24,Mooncoin,1803148.0,,6.7,5.0,96,34176.0,14.06,0.0166767848183,1.89535190678,0.0779747642944,0.149253731343
25,NetCoin,1780198.0,,0.0081,100.0,220,5546.0,7.68,0.0164645270272,0.311538379439,0.0126535593041,123.456790123
26,Anoncoin,1696814.0,,2.35,104.0,721,11830.0,8.09,0.0156933329681,0.697188967088,0.0269909135534,0.425531914894
27,Kittehcoin,1617986.0,,0.00026,108.0,6,43535.0,9.67,0.0149642760112,2.69069077236,0.0993279308156,3846.15384615
28,IXCoin,1328808.0,,0.073,112.0,18,1231.0,15.27,0.0122897538532,0.0926394181853,0.00280860647374,13.698630137
29,Particle,1227578.0,,0.0017,116.0,701,4657.0,+14.64,0.0113535073958,0.379364895754,0.0106252480489,588.235294118
30,Copperlark,1225604.0,,0.20,120.0,6,1590.0,8.38,0.0113352504511,0.129731952572,0.0036276882967,5.0
31,Terracoin,1159681.0,,0.23,124.0,5,4057.0,4.46,0.0107255480387,0.349837584646,0.009256309069,4.34782608696
32,FedoraCoin,1021047.0,,8,6.0,128,36206.0,9.01,0.00944336300092,3.54596801127,0.0826063411763,0.125
33,EarthCoin,940816.0,,0.00078,132.0,1,22036.0,5.57,0.00870133011024,2.34222207105,0.0502765656013,1282.05128205
34,SecureCoin,882546.0,,0.74,136.0,1,2302.0,9.26,0.00816240804097,0.260836262359,0.00525216255283,1.35135135135
35,LeafCoin,836109.0,,9.9,5.0,140,9876.0,8.93,0.00773292590383,1.18118570665,0.0225327356089,0.10101010101
36,TagCoin,823370.0,,0.98,144.0,842,2944.0,5.92,0.00761510664452,0.357554926704,0.00671692726131,1.02040816327
37,LottoCoin,770233.0,,0.00012,148.0,6,18681.0,10.21,0.00712365818056,2.42536998545,0.0426219151388,8333.33333333
38,CryptogenicBullion,691293.0,,0.73,152.0,940,9413.0,1.43,0.00639356536868,1.36165128245,0.0214763710295,1.3698630137
