#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,7070590924.0,,568.93,8.0,12,46980117.0,1.14,75.8894237471,0.66444399775,75.9160489521,0.00175768547976,8.58648727528e-08,1.1314471571e-07,1.29273494916e-05
2,Ripple,1502970388.0,,0.015,12.0,99,98457.0,4.14,16.1315451396,0.00655082766674,0.159098506112,66.6666666667,1.28797309129e-07,7.98418924006e-07,1.93910242375e-05
3,Litecoin,359038656.0,,13.85,16.0,25,7363269.0,-2.06,3.85360106385,2.05082903385,11.8984439705,0.072202166065,1.71729745506e-07,4.45634466724e-06,2.58546989833e-05
4,PPCoin,76392656.0,,3.61,20.0,21,752814.0,-0.91,0.819930710836,0.985453366093,1.21648621002,0.277008310249,2.14662181882e-07,2.61805270915e-05,3.23183737291e-05
5,DogeCoin,63411510.0,,0.0012,24.0,52,1691085.0,-0.39,0.680602654652,2.66684234455,2.73265585188,833.333333333,2.57594618259e-07,3.78480184433e-05,3.87820484749e-05
6,Nxt,51281010.0,,0.051,28.0,999,169010.0,-5.5,0.550404674786,0.329576192045,0.273106417198,19.6078431373,3.00527054635e-07,5.46011086755e-05,4.52457232207e-05
7,Namecoin,26217091.0,,3.24,32.0,8,652097.0,-1.73,0.281390897833,2.48729731304,1.05373572768,0.308641975309,3.43459491011e-07,0.000122057782841,5.17093979665e-05
8,MasterCoin,26144637.0,,46.42,36.0,563,34396.0,-18.15,0.280613241147,0.131560442013,0.0555811391393,0.021542438604,3.86391927388e-07,0.000137695543449,5.81730727124e-05
9,ProtoShares,25101614.0,,16.55,40.0,1,542925.0,-8.56,0.2694183615,2.1629087277,0.877322652843,0.0604229607251,4.29324363764e-07,0.000159352303003,6.46367474582e-05
10,Quarkcoin,14668064.0,,0.059,44.0,247,73030.0,-1.2,0.157433931111,0.497884383379,0.118010541672,16.9491525424,4.72256800141e-07,0.000299971420905,7.1100422204e-05
11,Feathercoin,8707586.0,,0.26,48.0,34,64288.0,0.56,0.0934594704843,0.738298766156,0.103884180515,3.84615384615,5.15189236517e-07,0.000551243478962,7.75640969498e-05
12,Primecoin,7853399.0,,1.74,52.0,4,76834.0,-2.22,0.0842913882265,0.978353449252,0.124157496355,0.574712643678,5.58121672893e-07,0.000662133682498,8.40277716956e-05
13,MegaCoin,7083635.0,,0.32,56.0,22,36265.0,-8.58,0.0760294272378,0.511954667342,0.0586012911643,3.125,6.0105410927e-07,0.00079055456697,9.04914464415e-05
14,Infinitecoin,7080458.0,,7.8e-05,60.0,90,319904.0,-1.04,0.0759953281502,4.51812580486,0.516938851472,12820.5128205,6.43986545646e-07,0.000847402809253,9.69551211873e-05
15,Novacoin,5641067.0,,7.92,64.0,711,44528.0,2.22,0.0605461875182,0.789354212598,0.0719536272705,0.126262626263,6.86918982023e-07,0.00113453713633,0.000103418795933
16,Worldcoin,5222679.0,,0.11,68.0,45,55137.0,-6.48,0.0560555834705,1.05572255159,0.089096908615,9.09090909091,7.29851418399e-07,0.00130201377492,0.000109882470679
17,Vertcoin,3840689.0,,1.95,72.0,1,160063.0,2.12,0.0412225340335,4.16755951862,0.25864879271,0.512820512821,7.72783854776e-07,0.00187466363457,0.000116346145425
18,DarkCoin,3817859.0,,1.12,76.0,3,81179.0,1.64,0.0409774971529,2.12629643997,0.131178663048,0.892857142857,8.15716291152e-07,0.00199064449473,0.000122809820171
19,MaxCoin,3576836.0,,0.86,80.0,4,699528.0,-11.53,0.0383905709997,19.5571728757,1.1303803669,1.16279069767,8.58648727528e-07,0.0022366135881,0.000129273494916
20,YbCoin,3327092.0,,3.07,84.0,1,167221.0,-2.73,0.0357100414021,5.02604075872,0.270215538668,0.325732899023,9.01581163905e-07,0.0025247272994,0.000135737169662
21,Tickets,2503738.0,,3.7e-05,66876281414.0,TIX,63301.0,-3.78,0.0268728930971,2.52825974603,0.102289268771,27027.027027,717.790424225,2671057.4914,108066.632817
22,Devcoin,2497573.0,,0.00039,91.0,6,65266.0,-6.32,0.0268067234795,2.61317687211,0.10546454899,2564.1025641,9.76712927564e-07,0.00364353714586,0.000147048600467
23,Digitalcoin,2214234.0,,0.16,95.0,13,26984.0,9.01,0.0237656150819,1.21866071969,0.0436039498353,6.25,1.01964536394e-06,0.00429042278278,0.000153512275213
