#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,7124876785.0,,573.29,8.0,12,40728855.0,5.7,75.8620901911,0.571642938243,70.9503430667,0.00174431788449,8.51799602776e-08,1.12282643496e-07,1.3936133106e-05
2,Ripple,1518425538.0,,0.015,12.0,99,82109.0,8.89,16.1674283764,0.00540750915637,0.14303524415,66.6666666667,1.27769940416e-07,7.90292292884e-07,2.09041996589e-05
3,Litecoin,360727499.0,,13.92,16.0,25,6550249.0,1.31,3.84084425448,1.81584409787,11.4106427426,0.0718390804598,1.70359920555e-07,4.43548108873e-06,2.78722662119e-05
4,PPCoin,77502018.0,,3.66,20.0,21,667894.0,6.63,0.825202351834,0.861776270135,1.16348246058,0.273224043716,2.12949900694e-07,2.58057796637e-05,3.48403327649e-05
5,DogeCoin,63982283.0,,0.0012,24.0,52,2043267.0,5.19,0.681251040551,3.193488735,3.55940511038,833.333333333,2.55539880833e-07,3.75103839293e-05,4.18083993179e-05
6,Nxt,51683373.0,,0.052,28.0,999,175099.0,-0.4,0.550298457394,0.338791742559,0.30502537134,19.2307692308,2.98129860972e-07,5.4176030655e-05,4.87764658709e-05
7,Namecoin,26747757.0,,3.3,32.0,8,520336.0,4.11,0.284796609847,1.94534442645,0.906433969478,0.30303030303,3.4071984111e-07,0.000119636199776,5.57445324238e-05
8,MasterCoin,25739651.0,,45.71,36.0,563,31761.0,-15.87,0.274062806217,0.12339328144,0.0553281904473,0.0218770509735,3.83309821249e-07,0.000139862036202,6.27125989768e-05
9,ProtoShares,25312459.0,,16.68,40.0,1,2792919.0,2.12,0.269514281518,11.0337719461,4.86531136727,0.0599520383693,4.25899801388e-07,0.000158024947319,6.96806655298e-05
10,Quarkcoin,14783772.0,,0.06,44.0,247,160487.0,3.61,0.157410138964,1.0855619256,0.279571024222,16.6666666667,4.68489781527e-07,0.000297623637594,7.66487320828e-05
11,Feathercoin,8739720.0,,0.26,48.0,34,54221.0,6.71,0.0930561253046,0.620397449804,0.0944538841423,3.84615384615,5.11079761665e-07,0.000549216679711,8.36167986358e-05
12,Primecoin,7901692.0,,1.75,52.0,4,68864.0,4.06,0.0841332263357,0.871509545044,0.119962233776,0.571428571429,5.53669741804e-07,0.000658086900881,9.05848651887e-05
13,MegaCoin,7152516.0,,0.32,56.0,22,184412.0,-2.69,0.0761563785956,2.57828154456,0.321248772292,3.125,5.96259721943e-07,0.00078294127549,9.75529317417e-05
14,Infinitecoin,7138373.0,,7.9e-05,60.0,90,282271.0,9.73,0.0760057910733,3.95427641565,0.491720778494,12658.2278481,6.38849702082e-07,0.000840527666458,0.000104520998295
15,Novacoin,5716282.0,,8.03,64.0,711,47762.0,8.24,0.0608640842119,0.835543103017,0.0832021986758,0.124533001245,6.81439682221e-07,0.00111960886464,0.000111489064848
16,Worldcoin,5362074.0,,0.12,68.0,45,119400.0,1.05,0.0570926562907,2.22675032086,0.207996786606,8.33333333333,7.24029662359e-07,0.00126816601188,0.000118457131401
17,Vertcoin,3777556.0,,1.91,72.0,1,152278.0,5.79,0.0402215087533,4.03112488604,0.265270809639,0.523560209424,7.66619642498e-07,0.00190599424602,0.000125425197954
18,DarkCoin,3738266.0,,1.09,76.0,3,88632.0,5.41,0.0398031686734,2.37093882565,0.154398418681,0.917431192661,8.09209622637e-07,0.00203302814727,0.000132393264507
19,MaxCoin,3586595.0,,0.85,80.0,4,678997.0,-4.01,0.038188252454,18.9315214012,1.18282407132,1.17647058824,8.51799602776e-07,0.00223052784047,0.00013936133106
20,YbCoin,3379493.0,,3.12,84.0,1,155987.0,2.2,0.0359831349373,4.61569235385,0.27173194935,0.320512820513,8.94389582915e-07,0.00248557993758,0.000146329397613
21,Devcoin,2570665.0,,0.00041,88.0,6,54511.0,5.83,0.0273711428234,2.12050189348,0.0949590689674,2439.02439024,9.36979563053e-07,0.00342323873395,0.000153297464166
22,Tickets,2525380.0,,3.8e-05,66876281414.0,TIX,57522.0,0.06,0.0268889710107,2.27775621887,0.100204281065,26315.7894737,712.064874295,2648167.06452,116499.594927
23,Digitalcoin,2166377.0,,0.16,95.0,13,29483.0,9.26,0.0230664883508,1.3609357928,0.0513598765454,6.25,1.0115120283e-06,0.00438520165234,0.000165491580633
24,Zetacoin,1996237.0,,0.012,99.0,160,16930.0,4.41,0.0212549235456,0.848095692045,0.0294923416855,83.3333333333,1.05410200843e-06,0.00495933098124,0.000172459647186
25,Freicoin,1757820.0,,0.046,103.0,38,26075.0,-0.81,0.0187163797219,1.48337144873,0.0454230838422,21.7391304348,1.09669198857e-06,0.00585953055489,0.000179427713739
26,NetCoin,1592545.0,,0.0071,107.0,223,26544.0,2.63,0.01695661498,1.66676608824,0.0462400896456,140.845070423,1.13928196871e-06,0.00671880543407,0.000186395780292
27,IXCoin,1563418.0,,0.085,111.0,18,11005.0,7.69,0.0166464853922,0.703906440888,0.0191708931039,11.7647058824,1.18187194885e-06,0.00709982870864,0.000193363846845
28,Mintcoin,1399255.0,,8.7e-05,115.0,16,300562.0,105.2,0.0148985606648,21.4801447913,0.523584004824,11494.2528736,1.22446192899e-06,0.00821865921508,0.000200331913398
29,Applecoin,1393945.0,,0.094,119.0,14,71817.0,-5.49,0.0148420224661,5.15206841016,0.125106408909,10.6382978723,1.26705190913e-06,0.00853692218847,0.000207299979951
30,Unobtanium,1359896.0,,8.78,123.0,154,62013.0,-1.62,0.0144794859077,4.56012812745,0.108027677787,0.113895216401,1.30964188927e-06,0.00904480930895,0.000214268046504
31,Mooncoin,1216147.0,,4.5e-05,127.0,26,36746.0,-6.09,0.012948919144,3.02150973525,0.0640121433889,22222.2222222,1.35223186941e-06,0.0104428165345,0.000221236113057
32,Terracoin,1189520.0,,0.22,131.0,5,10175.0,5.2,0.0126654082937,0.855387046876,0.0177250192941,4.54545454545,1.39482184955e-06,0.0110128455175,0.00022820417961
33,Anoncoin,1180457.0,,1.57,135.0,752,20283.0,-4.73,0.0125689100462,1.71823285389,0.0353333234735,0.636942675159,1.43741182968e-06,0.0114362488426,0.000235172246163
34,UltraCoin,1166407.0,,0.24,139.0,4,36026.0,6.96,0.0124193127409,3.088630298,0.0627578914094,4.16666666667,1.48000180982e-06,0.0119169380842,0.000242140312716
35,Copperlark,1118350.0,,0.17,143.0,6,269.0,10.59,0.0119076260721,0.0240532927974,0.000468602475688,5.88235294118,1.52259178996e-06,0.0127866946841,0.000249108379269
36,MinCoin,1011181.0,,0.63,147.0,1,135466.0,-3.17,0.0107665446767,13.3968102644,0.235984025916,1.5873015873,1.5651817701e-06,0.0145374566967,0.000256076445822
37,Particle,917230.0,,0.0013,151.0,687,2324.0,8.95,0.00976620187068,0.253371564384,0.00404844666728,769.230769231,1.60777175024e-06,0.0164626102504,0.000263044512375
38,Kittehcoin,863476.0,,0.00013,155.0,6,50478.0,20.31,0.00919385642258,5.84590654517,0.0879335158653,7692.30769231,1.65036173038e-06,0.0179507015829,0.000270012578928
39,FedoraCoin,859580.0,,5.7e-06,159.0,150,15716.0,3.47,0.00915237378192,1.82833476814,0.0273775334867,175438.596491,1.69295171052e-06,0.0184974057098,0.000276980645481
