#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,6915432608.0,,556.48,8.0,12,52060785.0,-3.26,75.8825703819,0.752820364987,72.7611025849,0.00179700977573,8.77834544079e-08,1.15683290598e-07,1.11809459016e-05
2,Ripple,1466785122.0,,0.015,12.0,99,136050.0,1.97,16.0949331104,0.00927538723699,0.190145961239,66.6666666667,1.31675181612e-07,8.18115743064e-07,1.67714188524e-05
3,Litecoin,352641672.0,,13.61,16.0,25,8463708.0,-5.46,3.86951301704,2.40008730449,11.8290326594,0.0734753857458,1.75566908816e-07,4.53718356916e-06,2.23618918032e-05
4,PPCoin,74289325.0,,3.51,20.0,21,876087.0,-5.32,0.815171696766,1.17929056429,1.22443516901,0.2849002849,2.1945863602e-07,2.69217683698e-05,2.7952364754e-05
5,DogeCoin,62984867.0,,0.0012,24.0,52,2281268.0,-2.69,0.691128650085,3.62193032812,3.18834176188,833.333333333,2.63350363224e-07,3.81043910119e-05,3.35428377048e-05
6,Nxt,51407225.0,,0.051,28.0,999,182652.0,-5.92,0.564087974003,0.35530414256,0.255277766352,19.6078431373,3.07242090428e-07,5.44670520535e-05,3.91333106556e-05
7,Namecoin,25650553.0,,3.17,32.0,8,714437.0,-6.09,0.281461768727,2.78526938581,0.998510180887,0.315457413249,3.51133817632e-07,0.000124753645662,4.47237836064e-05
8,ProtoShares,25301724.0,,16.7,36.0,1,2970194.0,-9.12,0.277634091899,11.7390973042,4.1511973039,0.059880239521,3.95025544835e-07,0.000142282794643,5.03142565572e-05
9,MasterCoin,23817321.0,,42.29,40.0,563,29844.0,-32.54,0.261345839015,0.125303765272,0.0417105186859,0.023646252069,4.38917272039e-07,0.000167945001035,5.5904729508e-05
10,Quarkcoin,14883112.0,,0.06,44.0,247,166897.0,-0.26,0.163311372962,1.12138509742,0.233258291017,16.6666666667,4.82808999243e-07,0.000295637095253,6.14952024588e-05
11,Feathercoin,8367590.0,,0.25,48.0,34,66801.0,-4.68,0.0918169944086,0.798330224115,0.0933622958965,4.0,5.26700726447e-07,0.000573641872989,6.70856754096e-05
12,Primecoin,7772757.0,,1.72,52.0,4,128259.0,-4.55,0.0852899324666,1.65010947853,0.179257117549,0.581395348837,5.70592453651e-07,0.000669003289309,7.26761483604e-05
13,MegaCoin,7064836.0,,0.32,56.0,22,187169.0,-8.66,0.0775219636131,2.64930424429,0.261590807932,3.125,6.14484180855e-07,0.000792658173523,7.82666213112e-05
