#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,7647007584.0,,615.04,8.0,12,34793416.0,8.1,76.2966261496,0.454993873326,69.5744407921,0.00162591050989,7.98185437234e-08,1.04616085601e-07,1.59971509074e-05
2,Ripple,1562151155.0,,0.016,12.0,99,89593.0,4.96,15.5860787835,0.00573523245259,0.179154092656,62.5,1.19727815585e-07,7.68171502584e-07,2.39957263611e-05
3,Litecoin,395656431.0,,15.25,16.0,25,7634282.0,9.84,3.94759001715,1.92952304117,15.265845153,0.0655737704918,1.59637087447e-07,4.04391253279e-06,3.19943018148e-05
4,PPCoin,82645533.0,,3.9,20.0,21,658342.0,7.86,0.824580761163,0.796585097951,1.31644954034,0.25641025641,1.99546359309e-07,2.41997350298e-05,3.99928772686e-05
5,DogeCoin,67442740.0,,0.0013,24.0,53,1781801.0,5.24,0.67289766144,2.64194633848,3.5629674355,769.230769231,2.3945563117e-07,3.55857428094e-05,4.79914527223e-05
6,Nxt,55767072.0,,0.056,28.0,999,134813.0,7.39,0.556405809345,0.241743012794,0.26957798816,17.8571428571,2.79364903032e-07,5.0208840084e-05,5.5990028176e-05
7,MasterCoin,32174063.0,,57.13,32.0,563,986.0,24.32,0.321010856791,0.00306458031117,0.00197164884934,0.0175039383861,3.19274174894e-07,9.94589958999e-05,6.39886036297e-05
8,Namecoin,28635730.0,,3.53,36.0,8,689461.0,8.62,0.285707783382,2.40769486233,1.37867645772,0.28328611898,3.59183446755e-07,0.000125717067454,7.19871790834e-05
9,ProtoShares,24084505.0,,15.73,40.0,1,1076100.0,-4.57,0.240298764425,4.46801792273,2.15181676143,0.0635727908455,3.99092718617e-07,0.000166081885428,7.99857545371e-05
11,Quarkcoin,15679414.0,,0.063,48.0,247,124508.0,6.81,0.15643849899,0.79408579938,0.248971658148,15.873015873,4.78911262341e-07,0.000306133889953,9.59829054445e-05
12,MegaCoin,9596713.0,,0.43,52.0,22,523531.0,33.94,0.095749457024,5.45531579406,1.04687555146,2.32558139535,5.18820534202e-07,0.0005418521946,0.000103981480898
13,Feathercoin,9229152.0,,0.27,56.0,34,55425.0,7.97,0.0920821840553,0.600542715084,0.11083026113,3.7037037037,5.58729806064e-07,0.000606772973292,0.000111980056352
14,Primecoin,8730843.0,,1.92,60.0,4,96285.0,11.49,0.0871103967172,1.10281447049,0.19253570939,0.520833333333,5.98639077926e-07,0.000687218863058,0.000119978631806
15,Infinitecoin,7722620.0,,8.6e-05,64.0,90,153752.0,9.03,0.0770510352662,1.99093053912,0.30744924329,11627.9069767,6.38548349787e-07,0.000828734289658,0.000127977207259
16,Worldcoin,6194362.0,,0.14,68.0,45,162660.0,16.06,0.061803119267,2.62593629497,0.325262070825,7.14285714286,6.78457621649e-07,0.00109777245825,0.000135975782713
17,Novacoin,6105276.0,,8.56,72.0,712,34580.0,7.4,0.0609142799187,0.566395360341,0.0691476847973,0.116822429907,7.18366893511e-07,0.00117930786421,0.000143974358167
18,Vertcoin,3969300.0,,1.98,76.0,2,120279.0,4.52,0.0396029682002,3.03023203084,0.240515164249,0.505050505051,7.58276165373e-07,0.00191469528632,0.000151972933621
19,MaxCoin,3903644.0,,0.86,80.0,4,342376.0,11.01,0.0389478974118,8.77067683426,0.684630067385,1.16279069767,7.98185437234e-07,0.00204936720664,0.000159971509074
20,DarkCoin,3822000.0,,1.11,84.0,3,99620.0,-10.45,0.0381333092639,2.60648874935,0.199204521675,0.900900900901,8.38094709096e-07,0.0021978021978,0.000167970084528
