#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,6840211381.0,,550.53,8.0,12,61165034.0,-12.14,75.9720228579,0.894198009288,70.0509011451,0.0018164314388,8.88534211898e-08,1.16955449977e-07,9.16221528072e-06
2,Ripple,1425857215.0,,0.014,12.0,99,211271.0,-7.35,15.8365364601,0.0148171217831,0.241963798072,71.4285714286,1.33280131785e-07,8.41598995591e-07,1.37433229211e-05
3,Litecoin,355212371.0,,13.72,16.0,25,11215147.0,-12.91,3.94522930154,3.15730754771,12.8444489024,0.0728862973761,1.7770684238e-07,4.50434762589e-06,1.83244305614e-05
4,PPCoin,74896659.0,,3.54,20.0,21,1074486.0,-12.67,0.831853048479,1.43462474074,1.23058400602,0.282485875706,2.22133552974e-07,2.67034608313e-05,2.29055382018e-05
5,DogeCoin,61272489.0,,0.0012,24.0,52,2535613.0,-13.05,0.680533784058,4.13825689373,2.90397902183,833.333333333,2.66560263569e-07,3.91692917844e-05,2.74866458422e-05
6,Nxt,53048565.0,,0.053,28.0,999,302205.0,-13.72,0.589193311182,0.569676107167,0.346108408614,18.8679245283,3.10986974164e-07,5.27818235988e-05,3.20677534825e-05
7,MasterCoin,29606158.0,,52.57,32.0,563,23314.0,-17.51,0.328826053323,0.0787471309178,0.0267009858819,0.0190222560396,3.55413684759e-07,0.000108085621917,3.66488611229e-05
8,Namecoin,25764878.0,,3.19,36.0,8,1140468.0,-14.99,0.286162194605,4.42644440234,1.3061516671,0.313479623824,3.99840395354e-07,0.000139725093983,4.12299687633e-05
9,ProtoShares,24342395.0,,16.13,40.0,1,4436329.0,-15.31,0.270363134463,18.2247022119,5.08082516927,0.0619962802232,4.44267105949e-07,0.000164322368444,4.58110764036e-05
10,Quarkcoin,14529749.0,,0.059,44.0,247,130090.0,-10.27,0.16137723846,0.895335494096,0.148989073234,16.9491525424,4.88693816544e-07,0.000302826979324,5.0392184044e-05
11,Feathercoin,8481300.0,,0.25,48.0,34,156534.0,-11.2,0.0941990651421,1.84563687171,0.179274775844,4.0,5.33120527139e-07,0.000565950974497,5.49732916843e-05
12,Primecoin,7747105.0,,1.72,52.0,4,176956.0,-13.61,0.0860445979458,2.28415646877,0.202663620902,0.581395348837,5.77547237734e-07,0.000671218474514,5.95543993247e-05
13,MegaCoin,7329130.0,,0.33,56.0,22,257808.0,-11.97,0.0814022843556,3.51757984918,0.295261549637,3.0303030303,6.21973948328e-07,0.000764074317143,6.41355069651e-05
14,Infinitecoin,6496002.0,,7.2e-05,60.0,90,327306.0,-16.7,0.0721490002194,5.03857603492,0.374856004334,13888.8888889,6.66400658923e-07,0.000923645035824,6.87166146054e-05
15,Novacoin,5407249.0,,7.61,64.0,710,59304.0,-15.09,0.0600565716094,1.09674993698,0.067919501876,0.131406044678,7.10827369518e-07,0.00118359631672,7.32977222458e-05
16,Worldcoin,5375533.0,,0.12,68.0,45,185572.0,-12.76,0.0597043122211,3.45215999976,0.212531326759,8.33333333333,7.55254080113e-07,0.00126499083905,7.78788298862e-05
17,MaxCoin,3823524.0,,0.97,72.0,3,861083.0,-21.66,0.0424666485502,22.5206641831,0.986178477571,1.03092783505,7.99680790708e-07,0.00188307958836,8.24599375265e-05
18,DarkCoin,3729760.0,,1.09,76.0,3,82288.0,12.37,0.0414252420271,2.20625455793,0.0942425463775,0.917431192661,8.44107501303e-07,0.00203766462185,8.70410451669e-05
19,Vertcoin,3527807.0,,1.81,80.0,1,382937.0,-26.36,0.0391822151559,10.8548171711,0.438568904119,0.552486187845,8.88534211898e-07,0.00226769775104,9.16221528072e-05
20,YbCoin,3268234.0,,3.03,84.0,1,247260.0,-4.73,0.0362992215186,7.56555375166,0.283181168789,0.3300330033,9.32960922493e-07,0.00257019540217,9.62032604476e-05
21,Devcoin,2546013.0,,0.0004,88.0,6,75621.0,-23.69,0.0282777456805,2.97017336518,0.086606985218,2500.0,9.77387633087e-07,0.00345638455106,0.000100784368088
22,Tickets,2490893.0,,3.7e-05,66876281414.0,TIX,92051.0,-12.87,0.0276655456085,3.69550197459,0.105423884851,27027.027027,742.77330001,2684831.56097,76591.8609362
23,Digitalcoin,1945171.0,,0.14,95.0,13,30168.0,-10.26,0.0216043872686,1.55091763141,0.0345507138236,7.14285714286,1.05513437663e-06,0.00488388938556,0.000108801306459
