#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,6987711654.0,,562.32,8.0,12,56106524.0,-5.45,75.8446006731,0.802931299661,72.8730855489,0.00177834684877,8.68319752487e-08,1.14486693157e-07,1.03906755013e-05
2,Ripple,1471274576.0,,0.015,12.0,99,157062.0,-0.77,15.9692096959,0.0106752337437,0.203997534449,66.6666666667,1.30247962873e-07,8.15619340927e-07,1.5586013252e-05
3,Litecoin,361929744.0,,13.97,16.0,25,9244910.0,-5.37,3.9283843216,2.55433828064,12.0076074811,0.0715819613457,1.73663950497e-07,4.42074746971e-06,2.07813510026e-05
4,PPCoin,76884680.0,,3.63,20.0,21,916009.0,-5.9,0.834506078845,1.19140640242,1.18974403441,0.275482093664,2.17079938122e-07,2.60129846414e-05,2.59766887533e-05
5,DogeCoin,64295685.0,,0.0012,24.0,52,2458894.0,-3.56,0.697865166065,3.82435306506,3.19369620577,833.333333333,2.60495925746e-07,3.73275438313e-05,3.1172026504e-05
6,Nxt,52606658.0,,0.053,28.0,999,189578.0,-6.72,0.570992503172,0.360368833922,0.246230435024,18.8679245283,3.0391191337e-07,5.32252020267e-05,3.63673642546e-05
7,MasterCoin,30182845.0,,53.6,32.0,563,15818.0,-17.57,0.327604506247,0.052407253193,0.020544963135,0.0186567164179,3.47327900995e-07,0.000106020489454,4.15627020053e-05
8,Namecoin,26624676.0,,3.29,36.0,8,862079.0,-5.49,0.28898415093,3.23789480105,1.11969789319,0.303951367781,3.90743888619e-07,0.000135212913013,4.67580397559e-05
9,ProtoShares,25697486.0,,16.98,40.0,1,2917349.0,-3.12,0.278920433538,11.3526630582,3.78915334789,0.0588928150766,4.34159876243e-07,0.000155657249896,5.19533775066e-05
10,Quarkcoin,14739370.0,,0.06,44.0,247,151376.0,-6.98,0.159981076378,1.02701811543,0.196612361836,16.6666666667,4.77575863868e-07,0.000298520221692,5.71487152573e-05
11,Feathercoin,8452142.0,,0.25,48.0,34,90771.0,-6.7,0.0917395231178,1.07394078329,0.117896500741,4.0,5.20991851492e-07,0.000567903378812,6.23440530079e-05
12,Primecoin,7763194.0,,1.72,52.0,4,143684.0,-8.87,0.0842616836574,1.85083613781,0.186621727341,0.581395348837,5.64407839117e-07,0.00066982739321,6.75393907586e-05
13,MegaCoin,7315716.0,,0.33,56.0,22,196591.0,-7.49,0.0794047588298,2.68724209633,0.255339160935,3.0303030303,6.07823826741e-07,0.000765475313695,7.27347285092e-05
14,Infinitecoin,7152638.0,,7.9e-05,60.0,90,334716.0,-3.68,0.0776347107224,4.67961610807,0.434740667638,12658.2278481,6.51239814365e-07,0.000838851344078,7.79300662599e-05
15,Novacoin,5580770.0,,7.84,64.0,711,54669.0,-5.53,0.0605736603136,0.979596005569,0.0710059798727,0.127551020408,6.9465580199e-07,0.00114679515551,8.31254040106e-05
16,Worldcoin,5407697.0,,0.12,68.0,45,121700.0,-6.88,0.0586951265071,2.25049591351,0.158068151064,8.33333333333,7.38071789614e-07,0.00125746690319,8.83207417612e-05
17,DarkCoin,3668183.0,,1.07,72.0,3,67545.0,-0.82,0.039814446933,1.84137487143,0.0877297720921,0.934579439252,7.81487777238e-07,0.00196282464643,9.35160795119e-05
18,Vertcoin,3644694.0,,1.86,76.0,1,206537.0,-2.08,0.0395594973996,5.66678574388,0.268257368252,0.537634408602,8.24903764863e-07,0.00208522306674,9.87114172626e-05
19,YbCoin,3410242.0,,3.16,80.0,1,166160.0,0.26,0.037014756117,4.87238149082,0.215814330162,0.316455696203,8.68319752487e-07,0.0023458745743,0.000103906755013
20,MaxCoin,3329440.0,,0.82,84.0,4,745710.0,-18.35,0.036137731459,22.3974602336,0.968553828511,1.21951219512,9.11735740111e-07,0.00252294680186,0.000109102092764
21,Tickets,2620947.0,,3.9e-05,66876281414.0,TIX,71957.0,-3.89,0.028447750629,2.74545803482,0.0934602296311,25641.025641,725.874951558,2551607.54544,86861.2173635
22,Devcoin,2496528.0,,0.00039,91.0,6,69013.0,-17.24,0.027097307188,2.76435914198,0.0896364610466,2564.1025641,9.87713718454e-07,0.00364506226247,0.000118193933828
23,Digitalcoin,2028291.0,,0.15,95.0,13,37284.0,-5.73,0.0220150642386,1.8381977734,0.0484257431739,6.66666666667,1.03112970608e-06,0.00468374606997,0.000123389271578
24,Zetacoin,1978989.0,,0.012,99.0,160,17613.0,-6.26,0.0214799404832,0.889999893885,0.0228763709506,83.3333333333,1.0745456937e-06,0.00500255433456,0.000128584609329
25,Freicoin,1890069.0,,0.049,103.0,38,33417.0,-13.81,0.0205148030783,1.76803069094,0.0434031504035,20.4081632653,1.11796168133e-06,0.0054495364984,0.00013377994708
26,NetCoin,1671070.0,,0.0075,107.0,223,31792.0,-4.83,0.0181377886099,1.90249361188,0.0412925444423,133.333333333,1.16137766895e-06,0.00640308305457,0.00013897528483
27,IXCoin,1457889.0,,0.08,111.0,18,10952.0,-8.48,0.0158239226954,0.751223172683,0.0142248347613,12.5,1.20479365658e-06,0.00761374837179,0.000144170622581
28,Mintcoin,1421074.0,,8.9e-05,115.0,15,214268.0,120.42,0.0154243327993,15.0778917917,0.27829865729,11235.9550562,1.2482096442e-06,0.00809247090581,0.000149365960331
29,Unobtanium,1418454.0,,9.17,119.0,154,132031.0,-13.76,0.0153958953274,9.30809176752,0.171486409639,0.109051254089,1.29162563182e-06,0.00838941551859,0.000154561298082
30,Applecoin,1378230.0,,0.093,123.0,14,80166.0,-12.73,0.0149593041559,5.81659084478,0.10412236153,10.752688172,1.33504161945e-06,0.00892449010688,0.000159756635833
31,Anoncoin,1189104.0,,1.58,127.0,751,30061.0,-13.39,0.012906531137,2.52803791763,0.0390442620307,0.632911392405,1.37845760707e-06,0.0106803105532,0.000164951973583
32,Terracoin,1169467.0,,0.22,131.0,5,10072.0,-5.08,0.0126933911998,0.861247046732,0.0130818604562,4.54545454545,1.4218735947e-06,0.011201684186,0.000170147311334
33,UltraCoin,1129437.0,,0.23,135.0,4,52676.0,1.4,0.0122589057036,4.66391662395,0.0684174028384,4.34782608696,1.46528958232e-06,0.0119528579283,0.000175342649085
34,Copperlark,1122204.0,,0.17,139.0,6,433.0,-8.18,0.012180398744,0.0385847849411,0.000562395311509,5.88235294118,1.50870556995e-06,0.0123863397386,0.000180537986835
35,Mooncoin,1081815.0,,4e-05,143.0,26,12641.0,-22.66,0.011742016663,1.16849923508,0.0164185661265,25000.0,1.55212155757e-06,0.013218526273,0.000185733324586
36,MinCoin,1006708.0,,0.63,147.0,1,177141.0,-19.27,0.0109268055173,17.596065592,0.230076831122,1.5873015873,1.59553754519e-06,0.0146020494523,0.000190928662337
37,Particle,893330.0,,0.0013,151.0,687,3399.0,-6.83,0.00969620105611,0.380486494353,0.00441473825362,769.230769231,1.63895353282e-06,0.0169030481457,0.000196124000087
38,Kittehcoin,876851.0,,0.00013,155.0,6,54462.0,13.4,0.0095173380411,6.21108945534,0.0707371211441,7692.30769231,1.68236952044e-06,0.0176768915129,0.000201319337838
39,FedoraCoin,856435.0,,5.7e-06,159.0,150,13316.0,-4.73,0.00929574284026,1.55481735333,0.0172952793719,175438.596491,1.72578550807e-06,0.0185653318699,0.000206514675589
40,MemoryCoin,776178.0,,0.17,163.0,4,200971.0,15.3,0.00842463361057,25.8923855095,0.261028055772,5.88235294118,1.76920149569e-06,0.0210003375514,0.000211710013339
41,CacheCoin,756542.0,,3.31,167.0,228,6532.0,9.25,0.00821150452732,0.863402164057,0.00848398654683,0.302114803625,1.81261748332e-06,0.0220741214632,0.00021690535109
42,SecureCoin,709043.0,,0.56,171.0,1,17486.0,-4.36,0.00769595052828,2.46614098158,0.022711418977,1.78571428571,1.85603347094e-06,0.0241170140598,0.000222100688841
43,ReddCoin,650540.0,,5.6e-05,175.0,11,24081.0,7.03,0.00706095914729,3.70169397731,0.0312772320934,17857.1428571,1.89944945857e-06,0.0269007286254,0.000227296026591
44,CryptogenicBullion,648504.0,,0.69,179.0,943,12040.0,-4.21,0.00703886040959,1.85658068416,0.0156379666295,1.44927536232,1.94286544619e-06,0.0276019885768,0.000232491364342
45,TagCoin,603920.0,,0.67,183.0,907,15984.0,-4.86,0.00655494581152,2.64670817327,0.0207605696516,1.49253731343,1.98628143381e-06,0.0303020267585,0.000237686702093
46,EarthCoin,596400.0,,0.00043,187.0,1,24041.0,-27.36,0.00647332375479,4.03101945003,0.0312252787159,2325.58139535,2.02969742144e-06,0.0313547954393,0.000242882039843
47,BBQCoin,583244.0,,0.018,191.0,32,7582.0,-10.96,0.00633052857149,1.29997050977,0.00984776270638,55.5555555556,2.07311340906e-06,0.0327478722456,0.000248077377594
48,LottoCoin,554405.0,,7.3e-05,195.0,7,30166.0,-16.92,0.00601751015472,5.44114861879,0.0391806396466,13698.630137,2.11652939669e-06,0.0351728429578,0.000253272715345
49,LeafCoin,531015.0,,4.5e-05,199.0,11,1646.0,6.19,0.00576363516709,0.309972411325,0.0021378814844,22222.2222222,2.15994538431e-06,0.0374754008832,0.000258468053095
50,Colossuscoin,522811.0,,1.7e-06,203.0,312,2874.0,-8.48,0.00567458897647,0.549720644745,0.00373285017385,588235.294118,2.20336137194e-06,0.0388285632858,0.000263663390846
51,BitBar,486908.0,,49.11,207.0,9,3032.0,-7.9,0.00528489792555,0.622704905239,0.003938066015,0.0203624516392,2.24677735956e-06,0.0425131647046,0.000268858728597
52,Extremecoin,457910.0,,0.13,211.0,3,222.0,-18.92,0.00497015372327,0.0484811425826,0.000288341245162,7.69230769231,2.29019334718e-06,0.046078923806,0.000274054066347
53,Gridcoin,449838.0,,0.041,215.0,11,7497.0,2.36,0.00488254026024,1.66659997599,0.00973736177918,24.3902439024,2.33360933481e-06,0.047794983972,0.000279249404098
54,Yacoin,429759.0,,0.025,219.0,16,24332.0,14.91,0.00466460285636,5.66177788016,0.0316032395373,40.0,2.37702532243e-06,0.0509587931841,0.000284444741849
55,TopCoin,410359.0,,3.6e-05,223.0,11,13044.0,-0.14,0.00445403531638,3.1786801313,0.0169419964049,27777.7777778,2.42044131006e-06,0.0543426609383,0.000289640079599
56,GoldCoin,395498.0,,0.013,227.0,29,3070.0,-6.64,0.00429273406836,0.776236542283,0.00398742172363,76.9230769231,2.46385729768e-06,0.0573959918887,0.00029483541735
57,Sexcoin,376892.0,,0.0062,231.0,61,57954.0,0.52,0.00409078460193,15.3768188234,0.0752726510004,161.290322581,2.50727328531e-06,0.061290767647,0.000300030755101
58,I0Coin,363834.0,,0.018,20213145.0,I0C,940.0,4.35,0.00394905311033,0.258359581567,0.00122090437141,55.5555555556,0.219393413292,5555.5954089,26.2535288195
59,FlorinCoin,361650.0,,0.0088,238.0,41,1422.0,-14.61,0.00392534798109,0.393197843219,0.00184694257036,113.636363636,2.58325126365e-06,0.065809484308,0.000309122596164
60,RedCoin,361250.0,,0.01,242.0,35,15294.0,-3.53,0.00392100638232,4.23363321799,0.0198643738897,100.0,2.62666725127e-06,0.0669896193772,0.000314317933915
61,HunterCoin,353260.0,,0.51,246.0,698,7605.0,-11.52,0.00383428294704,2.15280529921,0.00987763589844,1.96078431373,2.6700832389e-06,0.0696370944913,0.000319513271666
62,Karmacoin,350521.0,,1.7e-05,250.0,20,20559.0,-0.21,0.00380455384952,5.86526912796,0.026702737204,58823.5294118,2.71349922652e-06,0.0713224029373,0.000324708609416
63,Pandacoin-panda,310570.0,,5.5e-05,254.0,5,199833.0,-61.42,0.00337092581912,64.3439482242,0.259549982182,18181.8181818,2.75691521415e-06,0.0817851048073,0.000329903947167
64,Frozen,302461.0,,0.051,258.0,5,1204.0,-11.68,0.00328291075821,0.39806785007,0.00156379666295,19.6078431373,2.80033120177e-06,0.0853002535864,0.000335099284918
65,HoboNickels,293834.0,,0.095,262.0,3,3245.0,-1.51,0.0031892733269,1.10436504965,0.00421471775022,10.5263157895,2.84374718939e-06,0.0891659916824,0.000340294622668
66,Deutsche-eMark,277546.0,,0.058,266.0,4,3303.0,-20.29,0.0030124834253,1.19007299691,0.00429005014761,17.2413793103,2.88716317702e-06,0.09583996887,0.000345489960419
67,Fastcoin,277191.0,,0.0046,270.0,60,1882.0,-8.52,0.0030086302564,0.6789542229,0.00244440641169,217.391304348,2.93057916464e-06,0.0974057599273,0.00035068529817
68,Datacoin,263581.0,,0.15,274.0,1,7380.0,6.08,0.0028609073585,2.79989832348,0.00958539814997,6.66666666667,2.97399515227e-06,0.103952864584,0.00035588063592
69,DigiByte,217978.0,,0.00037,278.0,585,3622.0,-8.63,0.0023659325376,1.6616355779,0.00470437833322,2702.7027027,3.01741113989e-06,0.127535806366,0.000361075973671
