#,Coin,Market Cap,,Price,Supply,Unit,Volume,Change(24hr),MarketCap / Total MarketCap (%),Volume / MarketCap (%),Volume / TotalVolume (%) ,InversePrice,Supply/Total MarketCap(%) Volume,Supply/MarketCap(%),Supply/TotalVolume(%)
1,Bitcoin,7156538719.0,,575.95,8.0,12,58888215.0,-4.95,75.9317827135,0.822858889084,71.2712091375,0.00173626182828,8.48810137917e-08,1.1178588301e-07,9.68223732202e-06
2,Ripple,1497568752.0,,0.015,12.0,99,172989.0,-0.28,15.8893942366,0.0115513227536,0.209365069012,66.6666666667,1.27321520688e-07,8.01298770689e-07,1.4523355983e-05
3,Litecoin,367268243.0,,14.18,16.0,25,10328059.0,-6.3,3.89676259992,2.81212960741,12.4998397892,0.0705218617772,1.69762027583e-07,4.35648883478e-06,1.9364474644e-05
4,PPCoin,77867856.0,,3.68,20.0,21,999659.0,-6.88,0.826187819883,1.2837890387,1.20986695989,0.271739130435,2.12202534479e-07,2.56845392019e-05,2.42055933051e-05
5,DogeCoin,64774055.0,,0.0012,24.0,52,2499499.0,-5.44,0.687260931975,3.85879655056,3.02509281302,833.333333333,2.54643041375e-07,3.70518720806e-05,2.90467119661e-05
6,Nxt,54675544.0,,0.055,28.0,999,248604.0,-6.66,0.580114450541,0.454689577483,0.3008803659,18.1818181818,2.97083548271e-07,5.12111959965e-05,3.38878306271e-05
7,MasterCoin,33554352.0,,59.58,32.0,563,17177.0,-11.9,0.35601592686,0.0511915712156,0.02078897381,0.016784155757,3.39524055167e-07,9.53676590148e-05,3.87289492881e-05
8,Namecoin,27474002.0,,3.4,36.0,8,952696.0,-6.11,0.291502642834,3.46762732273,1.15302859597,0.294117647059,3.81964562063e-07,0.000131032967094,4.35700679491e-05
9,ProtoShares,25798731.0,,17.07,40.0,1,3439253.0,-9.51,0.273727805227,13.3310936883,4.16245796956,0.0585823081429,4.24405068958e-07,0.000155046385809,4.84111866101e-05
10,Quarkcoin,14861430.0,,0.06,44.0,247,136750.0,-6.05,0.157681655599,0.920167170992,0.165505744223,16.6666666667,4.66845575854e-07,0.000296068413336,5.32523052711e-05
11,Feathercoin,8822474.0,,0.26,48.0,34,98571.0,-5.09,0.0936075671588,1.11727164059,0.119298476884,3.84615384615,5.0928608275e-07,0.000544065077437,5.80934239321e-05
12,Primecoin,7948099.0,,1.76,52.0,4,160621.0,-7.55,0.0843303376046,2.02087316728,0.194396330113,0.568181818182,5.51726589646e-07,0.000654244492928,6.29345425931e-05
13,MegaCoin,7629576.0,,0.34,56.0,22,234231.0,-5.4,0.0809507682101,3.07003954086,0.283485016272,2.94117647059,5.94167096542e-07,0.000733985741803,6.77756612541e-05
14,Infinitecoin,7011967.0,,7.8e-05,60.0,90,345735.0,-11.22,0.0743978584542,4.93064214364,0.418436040066,12820.5128205,6.36607603438e-07,0.000855680011044,7.26167799152e-05
15,Novacoin,5692720.0,,8.01,64.0,711,51867.0,-6.27,0.060400480604,0.911111033039,0.0627735753977,0.124843945069,6.79048110333e-07,0.00112424289268,7.74578985762e-05
16,Worldcoin,5590169.0,,0.12,68.0,45,150795.0,-5.37,0.0593124014984,2.69750342074,0.182504122122,8.33333333333,7.21488617229e-07,0.00121642118512,8.22990172372e-05
17,MaxCoin,3930774.0,,0.98,72.0,4,823519.0,-11.84,0.0417060102632,20.9505557938,0.996688299649,1.02040816327,7.63929124125e-07,0.00183170032162,8.71401358982e-05
18,DarkCoin,3871388.0,,1.13,76.0,3,61755.0,1.98,0.0410759172776,1.59516431833,0.0747408207277,0.884955752212,8.06369631021e-07,0.00196312020392,9.19812545592e-05
19,Vertcoin,3729370.0,,1.91,80.0,1,302239.0,-14.55,0.0395690883005,8.10429107329,0.365793715746,0.523560209424,8.48810137917e-07,0.00214513443289,9.68223732202e-05
20,YbCoin,3451862.0,,3.2,84.0,1,200044.0,-6.06,0.0366246932536,5.79524905689,0.242109185356,0.3125,8.91250644813e-07,0.00243346924066,0.000101663491881
21,Devcoin,2677382.0,,0.00042,88.0,6,78426.0,-14.02,0.0284073623085,2.92920472312,0.0949173930271,2380.95238095,9.33691151709e-07,0.00328679284465,0.000106504610542
22,Tickets,2631830.0,,3.9e-05,66876281414.0,TIX,102591.0,-5.69,0.0279240498159,3.89808612258,0.124163801138,25641.025641,709.56582063,2541056.27696,80939.0034831
23,Digitalcoin,2116318.0,,0.16,95.0,13,40810.0,1.78,0.0224544021682,1.92834914224,0.049391513139,6.25,1.00796203878e-06,0.00448892841246,0.000114976568199
24,Freicoin,2027749.0,,0.053,99.0,38,102162.0,51.25,0.0215146738544,5.03819752839,0.123644591162,18.8679245283,1.05040254567e-06,0.0048822610688,0.00011981768686
25,Zetacoin,1989188.0,,0.012,103.0,160,26706.0,-4.48,0.0211055367578,1.34255786783,0.0323217287402,83.3333333333,1.09284305257e-06,0.00517799222597,0.000124658805521
26,NetCoin,1678280.0,,0.0075,107.0,223,49788.0,5.39,0.0178067634783,2.96660867078,0.0602574039736,133.333333333,1.13528355946e-06,0.00637557499345,0.000129499924182
27,Unobtanium,1531180.0,,9.91,111.0,154,155160.0,-34.52,0.0162460138372,10.1333611986,0.187786992861,0.100908173562,1.17772406636e-06,0.00724931098891,0.000134341042843
28,Applecoin,1472585.0,,0.099,115.0,14,119155.0,-9.09,0.0156243134618,8.09155328894,0.144210873513,10.101010101,1.22016457326e-06,0.00780939640157,0.000139182161504
29,Anoncoin,1266830.0,,1.69,119.0,750,32814.0,-2.79,0.0134412268377,2.5902449421,0.0397141169356,0.591715976331,1.26260508015e-06,0.0093935255717,0.000144023280165
30,IXCoin,1263421.0,,0.069,123.0,18,9172.0,-22.55,0.0134050569157,0.725965454112,0.0111006850897,14.4927536232,1.30504558705e-06,0.00973547218227,0.000148864398826
31,Mooncoin,1233976.0,,4.6e-05,127.0,26,11399.0,-12.39,0.0130926417343,0.9237618884,0.0137959779042,21739.1304348,1.34748609394e-06,0.010291934365,0.000153705517487
32,Terracoin,1197682.0,,0.22,131.0,5,11536.0,-6.83,0.012707557795,0.963193902889,0.0139617862184,4.54545454545,1.38992660084e-06,0.0109377948404,0.000158546636148
33,Mintcoin,1189002.0,,7.5e-05,135.0,15,117672.0,82.88,0.012615461895,9.89670328561,0.14241602877,13333.3333333,1.43236710773e-06,0.0113540599595,0.000163387754809
34,UltraCoin,1157709.0,,0.24,139.0,4,66922.0,2.41,0.0122834391995,5.78055452622,0.080994335758,4.16666666667,1.47480761463e-06,0.0120064714017,0.00016822887347
35,Copperlark,1130376.0,,0.18,143.0,6,450.0,-3.14,0.0119934326057,0.0398097624153,0.000544625849364,5.55555555556,1.51724812153e-06,0.0126506578342,0.000173069992131
36,MinCoin,1016024.0,,0.63,147.0,1,168595.0,-18.65,0.0107801433946,16.5936040881,0.204047100163,1.5873015873,1.55968862842e-06,0.0144681621694,0.000177911110792
37,FedoraCoin,912369.0,,6.1e-06,151.0,150,18415.0,-6.22,0.00968035070901,2.01837195258,0.0222873000356,163934.42623,1.60212913532e-06,0.0165503211968,0.000182752229453
38,Particle,899325.0,,0.0013,155.0,687,3417.0,-17.06,0.00954195221603,0.379951630389,0.00413552561617,769.230769231,1.64456964221e-06,0.0172351485837,0.000187593348114
39,MemoryCoin,834352.0,,0.19,159.0,4,398488.0,61.12,0.00885258045239,47.7601779585,0.482281923247,5.26315789474,1.68701014911e-06,0.0190567050837,0.000192434466775
40,CacheCoin,776261.0,,3.4,163.0,228,7165.0,-10.57,0.00823622758087,0.92301429545,0.00867165380154,0.294117647059,1.72945065601e-06,0.0209980921365,0.000197275585436
41,SecureCoin,752376.0,,0.59,167.0,1,17766.0,3.15,0.00798280470407,2.36131934033,0.0215018285329,1.69491525424,1.7718911629e-06,0.0221963486342,0.000202116704097
42,Kittehcoin,712892.0,,0.00011,171.0,6,61626.0,-21.75,0.0075638744605,8.64450716238,0.0745846946509,9090.90909091,1.8143316698e-06,0.0239868030501,0.000206957822758
43,EarthCoin,673218.0,,0.00048,175.0,1,30723.0,-17.79,0.00714292829285,4.56360346871,0.0371834221556,2083.33333333,1.85677217669e-06,0.025994551542,0.000211798941419
44,ReddCoin,663760.0,,5.8e-05,179.0,11,26323.0,7.57,0.0070425777143,3.96574062914,0.0318581916284,17241.3793103,1.89921268359e-06,0.0269675786429,0.00021664006008
45,CryptogenicBullion,653882.0,,0.69,183.0,943,12368.0,-8.42,0.00693777088252,1.89147277338,0.0149687388998,1.44927536232,1.94165319048e-06,0.0279867009644,0.000221481178741
46,BBQCoin,632426.0,,0.02,187.0,32,23928.0,8.38,0.00671012000353,3.7835256615,0.0289595718302,50.0,1.98409369738e-06,0.0295686768096,0.000226322297402
47,LottoCoin,608926.0,,8.1e-05,191.0,7,34961.0,-15.84,0.00646078202551,5.74142013972,0.0423125873769,12345.6790123,2.02653420428e-06,0.0313667013726,0.000231163416063
48,TagCoin,602425.0,,0.67,195.0,905,23911.0,-5.99,0.00639180559168,3.96912478732,0.0289389970759,1.49253731343,2.06897471117e-06,0.032369174586,0.000236004534724
49,Gridcoin,594745.0,,0.054,199.0,10,6907.0,131.43,0.00631031981844,1.16133805244,0.0083594016479,18.5185185185,2.11141521807e-06,0.0334597180304,0.000240845653385
50,LeafCoin,543658.0,,4.6e-05,203.0,11,4853.0,5.4,0.00576828027449,0.89265678055,0.00587348721547,21739.1304348,2.15385572496e-06,0.0373396510306,0.000245686772046
51,Colossuscoin,538784.0,,1.7e-06,207.0,312,441.0,-13.03,0.00571656651684,0.0818509829542,0.000533733332376,588235.294118,2.19629623186e-06,0.0384198491418,0.000250527890707
52,BitBar,503622.0,,50.81,211.0,9,2991.0,-4.48,0.00534349324097,0.593897804306,0.00361994647877,0.019681165125,2.23873673876e-06,0.0418965017414,0.000255369009368
53,Extremecoin,486596.0,,0.14,215.0,3,2182.0,0.16,0.00516284522337,0.44842127761,0.00264083022958,7.14285714286,2.28117724565e-06,0.044184498023,0.000260210128029
54,Yacoin,442910.0,,0.026,219.0,16,61433.0,51.0,0.00469933122731,13.8703122531,0.0743511106755,38.4615384615,2.32361775255e-06,0.0494457113183,0.00026505124669
55,GoldCoin,409632.0,,0.014,223.0,29,3115.0,-1.45,0.00434624743019,0.760438637606,0.00377002115726,71.4285714286,2.36605825944e-06,0.0544391063198,0.000269892365351
